일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,4900,4900,4750,4760,19417,93,,
2024-03-12,4850,4980,4785,4850,20453,99,,
2024-03-11,4820,4880,4790,4800,10788,52,,
2024-03-08,4810,5050,4805,4885,22517,110,,
2024-03-07,4800,4865,4715,4810,14538,70,,
2024-03-06,4910,4910,4750,4785,34098,164,,
2024-03-05,4950,5290,4860,4910,60389,304,,
2024-03-04,4910,5340,4910,5090,117137,602,,
2024-02-29,4740,4935,4650,4890,21395,103,,
2024-02-28,4775,4790,4705,4740,9210,44,,
2024-02-27,4710,4880,4620,4740,27979,133,,
2024-02-26,4875,4875,4665,4735,31973,151,,
2024-02-23,4965,5090,4760,4925,32644,159,,
2024-02-22,5000,5040,4900,4900,29830,148,,
2024-02-21,4920,5270,4920,5030,58699,299,,
2024-02-20,4915,5130,4690,5100,101915,502,,
2024-02-19,5140,5200,4855,4915,62091,307,,
2024-02-16,4530,5440,4475,5040,610883,3122,,
2024-02-15,4535,4565,4470,4475,22906,104,,
2024-02-14,4660,4660,4510,4510,25314,115,,
2024-02-13,4640,4700,4590,4660,23789,110,,
2024-02-08,4615,4770,4605,4655,17793,83,,
2024-02-07,4535,4830,4535,4680,38880,182,,
2024-02-06,4700,4805,4455,4670,39293,182,,
2024-02-05,5100,5100,4695,4700,59869,288,,
2024-02-02,5070,5130,4940,4985,41390,208,,
2024-02-01,4915,5260,4895,4990,46015,233,,
2024-01-31,4955,5230,4810,5020,53620,269,,
2024-01-30,5400,5400,5030,5030,134664,696,2,0.00
2024-01-29,5500,6400,5190,5620,268531,1597,,
2024-01-26,5460,5880,5400,5610,107460,600,,
2024-01-25,6460,6480,5850,5930,105478,631,,
2024-01-24,7150,7380,6190,6460,111000,728,,
2024-01-23,7380,8110,7000,7130,215099,1613,,
2024-01-22,7300,8440,7010,7280,290066,2249,,
2024-01-19,6500,7840,6460,7590,687090,5035,,
2024-01-18,5970,7160,5900,6380,538534,3619,,
2024-01-17,6290,6330,5850,5850,112537,678,,
2024-01-16,5620,7300,5310,6430,1208092,8211,,
2024-01-15,5270,6240,5130,5620,523288,3085,,
2024-01-12,4880,6340,4860,5350,833870,5013,,
2024-01-11,5130,5130,4860,4880,33337,166,,
2024-01-10,5300,5300,4900,4990,55930,281,,
2024-01-09,5700,5750,5300,5310,168797,917,,
2024-01-08,5750,6940,5750,6100,591240,3948,256,-50.00
2024-01-05,5305,5370,5055,5340,44984,236,,
2024-01-04,4860,6150,4860,5300,207154,1130,,
2024-01-03,4895,4920,4795,4860,17846,87,,
2024-01-02,4910,4930,4795,4900,29748,145,,
2023-12-28,4770,4895,4700,4880,29924,144,,
2023-12-27,4700,4790,4660,4770,24040,114,4,0.00
2023-12-26,4935,4935,4660,4750,39096,186,,
2023-12-22,5035,5445,4765,4825,485534,2455,,
2023-12-21,4500,4500,4315,4400,50302,221,,
2023-12-20,4370,4515,4325,4445,52634,233,,
