일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,4030,4110,3905,3925,17216,68,,
2024-03-12,4035,4085,3965,4030,603,2,,
2024-03-11,3950,4000,3900,4000,4250,17,,
2024-03-08,3940,3960,3900,3950,2793,11,,
2024-03-07,3990,3990,3930,3950,4784,19,,
2024-03-06,4015,4035,3970,3985,1794,7,,
2024-03-05,4115,4140,4000,4010,4702,19,,
2024-03-04,4100,4185,4065,4075,10746,44,,
2024-02-29,3950,4110,3940,4100,12211,49,,
2024-02-28,4000,4000,3930,3950,10001,40,,
2024-02-27,4010,4010,3945,4000,6914,28,,
2024-02-26,4030,4045,3965,4010,12349,49,,
2024-02-23,4065,4095,3990,4005,4970,20,,
2024-02-22,4095,4100,4045,4050,6089,25,,
2024-02-21,4185,4185,4050,4095,10938,45,,
2024-02-20,4235,4235,4180,4185,1313,6,,
2024-02-19,4280,4285,4150,4195,3053,13,,
2024-02-16,4220,4245,4190,4240,2304,10,,
2024-02-15,4225,4290,4215,4220,3561,15,,
2024-02-14,4310,4315,4200,4220,4738,20,,
2024-02-13,4390,4415,4300,4315,8104,35,,
2024-02-08,4385,4435,4385,4390,2121,9,,
2024-02-07,4380,4455,4380,4390,1870,8,,
2024-02-06,4455,4495,4410,4410,2850,13,,
2024-02-05,4450,4530,4435,4495,4583,20,,
2024-02-02,4500,4540,4475,4535,2383,11,,
2024-02-01,4460,4500,4350,4500,16226,71,,
2024-01-31,4530,4575,4460,4460,10772,48,,
2024-01-30,4635,4680,4560,4575,5141,24,,
2024-01-29,4730,4775,4500,4680,3557,17,,
2024-01-26,4730,4780,4635,4775,5422,25,,
2024-01-25,4850,4850,4770,4780,2751,13,,
2024-01-24,4915,4975,4790,4895,10255,50,,
2024-01-23,4630,4990,4620,4830,19225,93,,
2024-01-22,4630,4710,4605,4690,28595,134,,
2024-01-19,4670,4885,4620,4685,8840,42,,
2024-01-18,4670,4980,4500,4620,25813,121,,
2024-01-17,4685,4730,4580,4715,4939,23,,
2024-01-16,4730,4775,4655,4730,3995,19,,
2024-01-15,4740,4980,4715,4730,8773,42,,
2024-01-12,4745,4940,4690,4740,11982,57,,
2024-01-11,4800,4830,4720,4745,18832,90,,
2024-01-10,4710,4950,4710,4825,15752,75,,
2024-01-09,4845,5100,4705,4705,21337,103,,
2024-01-08,4930,4975,4695,4805,37016,179,,
2024-01-05,4700,5420,4645,4925,240883,1228,,
2024-01-04,4435,4775,4430,4685,52459,244,,
2024-01-03,4430,4500,4360,4455,18191,81,,
2024-01-02,4295,4505,4295,4430,60919,271,,
2023-12-28,4290,4450,4250,4290,22294,96,,
2023-12-27,4215,4465,4215,4275,12406,53,4,0.00
2023-12-26,4235,4245,4150,4235,25608,108,,
2023-12-22,4220,4300,4080,4235,19338,81,,
2023-12-21,4240,4265,4135,4250,11369,48,,
2023-12-20,4200,4280,4105,4240,16400,69,,
2023-12-19,4075,4200,4005,4200,28756,119,,
2023-12-18,4070,4125,4050,4085,13264,54,,
2023-12-15,4170,4170,4050,4125,12198,50,,
2023-12-14,4055,4150,4000,4145,19659,80,,
