일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,12970,12970,12660,12760,19085,243,,
2024-03-12,13170,13220,12940,12990,14920,194,,
2024-03-11,13330,13330,13040,13180,18314,241,,
2024-03-08,13390,13450,13150,13320,25726,340,,
2024-03-07,13630,13750,13100,13370,16547,220,,
2024-03-06,13270,13740,13090,13670,36454,494,,
2024-03-05,12850,13270,12680,13250,26766,348,,
2024-03-04,12820,12880,12480,12880,35421,449,,
2024-02-29,12950,12950,12590,12840,37594,479,,
2024-02-28,13190,13190,12870,13030,31228,405,,
2024-02-27,13100,13200,12950,13160,19330,252,,
2024-02-26,13200,13280,13020,13100,15787,207,,
2024-02-23,13010,13240,12910,13200,24202,316,,
2024-02-22,13170,13200,13010,13010,10784,141,,
2024-02-21,13350,13350,13060,13170,16435,216,,
2024-02-20,13340,13360,13110,13360,14148,187,,
2024-02-19,13250,13340,13120,13260,13168,174,,
2024-02-16,13440,13440,12940,13250,29001,379,,
2024-02-15,13750,13800,13090,13240,46722,617,,
2024-02-14,13500,13900,13350,13740,19514,266,,
2024-02-13,13720,13750,13520,13530,26905,366,,
2024-02-08,13600,13790,13460,13720,26727,364,,
2024-02-07,13460,13600,13340,13600,27286,368,,
2024-02-06,13450,13530,13260,13450,14763,198,,
2024-02-05,13570,13570,13140,13470,35297,471,,
2024-02-02,13780,13920,13300,13600,27685,376,,
2024-02-01,12830,13940,12750,13860,94860,1283,,
2024-01-31,12800,13040,12630,12840,17745,227,,
2024-01-30,12800,13100,12800,12880,34769,450,,
2024-01-29,12890,13140,12820,13060,31206,405,,
2024-01-26,12100,13000,12100,12900,50690,640,,
2024-01-25,12300,12310,12190,12290,1465599,18012,,
2024-01-24,12300,12330,12090,12310,12545,153,,
2024-01-23,12200,12300,12170,12290,16969,208,,
2024-01-22,12230,12230,12090,12190,7941,96,,
2024-01-19,12340,12340,12130,12230,11624,142,,
2024-01-18,12270,12340,12160,12310,11710,143,,
2024-01-17,12300,12300,12100,12270,11835,144,,
2024-01-16,12400,12410,12190,12300,14547,179,,
2024-01-15,12360,12400,12210,12400,6699,82,,
2024-01-12,12450,12500,12320,12360,14218,176,,
2024-01-11,12550,12600,12400,12440,13089,163,,
2024-01-10,12420,12570,12410,12540,13895,173,,
2024-01-09,12510,12600,12360,12380,18935,236,,
2024-01-08,12680,12680,12410,12510,13813,173,,
2024-01-05,12760,12790,12680,12680,10893,139,,
2024-01-04,12880,12900,12670,12760,23700,302,,
2024-01-03,13050,13070,12870,13000,5639,73,,
2024-01-02,13180,13300,13050,13060,11637,153,,
2023-12-28,13360,13360,13060,13180,11348,149,,
2023-12-27,13430,13450,13150,13360,31159,414,4,0.00
2023-12-26,13490,13490,13340,13430,10179,137,,
2023-12-22,13350,13500,13220,13500,9872,132,,
2023-12-21,13150,13370,13070,13370,15312,202,,
2023-12-20,13150,13190,13020,13160,9655,127,,
2023-12-19,12900,13150,12830,13150,15409,199,,
2023-12-18,13070,13090,12900,12930,11822,153,,
2023-12-15,13150,13350,12930,13000,20842,273,,
2023-12-14,13230,13230,13000,13100,14202,186,,
2023-12-13,13210,13250,12300,13250,11204,146,,
2023-12-12,13490,13490,13170,13220,21366,283,,
2023-12-11,13440,13500,13060,13500,11053,146,,
2023-12-08,13350,13460,13310,13440,6343,85,,
2023-12-07,13420,13500,12910,13290,18757,247,,
2023-12-06,13500,13600,13230,13450,14842,199,,
2023-12-05,13490,13600,13310,13500,8935,120,,
2023-12-04,13220,13490,13190,13490,12611,169,,
2023-12-01,13240,13280,13020,13220,10136,133,,
2023-11-30,13250,13430,13210,13290,19609,262,,
2023-11-29,13220,13300,13130,13190,13029,172,,
2023-11-28,13130,13200,13110,13190,9993,132,,
2023-11-27,12950,13200,12950,13110,14964,196,,
2023-11-24,12990,13060,12830,12950,11790,153,,
2023-11-23,13030,13150,12770,13000,19759,255,,
2023-11-22,13180,13180,12760,13030,20078,260,,
2023-11-21,12380,13110,12360,12960,52129,671,,
2023-11-20,12400,12510,12200,12270,9250,114,,
