iter	RMSE
0	6.25371967
1	6.250722314
2	6.248194296
3	6.246058043
4	6.244485578
5	6.243111885
6	6.241848993
7	6.240586763
8	6.239536693
9	6.238657621
10	6.237921284
11	6.237218965
12	6.236609904
13	6.235875437
14	6.235276047
15	6.23470463
16	6.234145999
17	6.233673705
18	6.233263426
19	6.23283415
20	6.232411536
21	6.231887927
22	6.231459246
23	6.231088398
24	6.230660023
25	6.22938268
26	6.229116115
27	6.228864767
28	6.228502212
29	6.228182978
30	6.227790041
31	6.227535457
32	6.227291052
33	6.22703843
34	6.226856889
35	6.226714277
36	6.225531757
37	6.225372915
38	6.225031028
39	6.224797872
40	6.224610552
41	6.224382904
42	6.224086738
43	6.223863421
44	6.223643135
45	6.223397642
46	6.223188202
47	6.222652822
48	6.222491328
49	6.222326866
50	6.222120316
51	6.221938141
52	6.221720736
53	6.221529207
54	6.221375963
55	6.22119806
56	6.221002839
57	6.220830333
58	6.220739143
59	6.220577983
60	6.220389827
61	6.220214775
62	6.220076602
63	6.219909479
64	6.219740053
65	6.219524235
66	6.21932996
67	6.219145794
68	6.218955977
69	6.218854195
70	6.218703055
71	6.2185478
72	6.21827906
73	6.218167661
74	6.217925812
75	6.217841801
76	6.217580534
77	6.217434796
78	6.217324625
79	6.217139286
80	6.216758478
81	6.216627692
82	6.216553817
83	6.216474964
84	6.216350201
85	6.216215224
86	6.216078938
87	6.215911974
88	6.215763581
89	6.215668979
90	6.215554095
91	6.215473274
92	6.215293749
93	6.215108374
94	6.214989926
95	6.214684614
96	6.214553249
97	6.214457939
98	6.214322686
99	6.21422139
100	6.214106863
101	6.214028362
102	6.213880707
103	6.213739203
104	6.213596421
105	6.213444499
106	6.213332673
107	6.213197743
108	6.213061273
109	6.212937012
110	6.212771623
111	6.212622439
112	6.212507339
113	6.212372975
114	6.212252011
115	6.212134581
116	6.211999479
117	6.211883147
118	6.211782661
119	6.211519379
120	6.21101766
121	6.210924191
122	6.210783268
123	6.210654134
124	6.210504968
125	6.210348844
126	6.210207066
127	6.210062355
128	6.209945347
129	6.209826226
130	6.209720897
131	6.20954602
132	6.209406776
133	6.209280827
134	6.209154047
135	6.209051198
136	6.208940669
137	6.208803805
138	6.208668625
139	6.208505941
140	6.208388762
141	6.208023901
142	6.207865533
143	6.207731937
144	6.207582389
145	6.207468891
146	6.207359486
147	6.207257403
148	6.207175612
149	6.207073149
150	6.20694166
151	6.206810987
152	6.206720588
153	6.206608256
154	6.206456702
155	6.206310153
156	6.206187473
157	6.206058874
158	6.205959308
159	6.205829616
160	6.205545272
161	6.20542402
162	6.205282324
163	6.205179135
164	6.204408509
165	6.204260099
166	6.203252121
167	6.203116674
168	6.202630583
169	6.202542394
170	6.202420149
171	6.202313976
172	6.20221094
173	6.202078519
174	6.201965048
175	6.201840391
176	6.20173917
177	6.201598388
178	6.201496102
179	6.201374821
180	6.201270739
181	6.201180175
182	6.201075364
183	6.200967271
184	6.200797779
185	6.199972135
186	6.199875088
187	6.199764892
188	6.199677948
189	6.199571014
190	6.199305696
191	6.199214406
192	6.198919975
193	6.198818197
194	6.198328545
195	6.198224363
196	6.198125918
197	6.198031235
198	6.197891193
199	6.197802284
200	6.197699084
201	6.197112365
202	6.196995951
203	6.196897641
204	6.196776036
205	6.196676239
206	6.19655848
207	6.196457662
208	6.196326243
209	6.196230935
210	6.196122129
211	6.196011546
212	6.19589502
213	6.195798865
214	6.195691019
215	6.195239833
216	6.195149
217	6.195057744
218	6.194976807
219	6.194872367
220	6.194775755
221	6.194518422
222	6.194412686
223	6.194296052
224	6.194196335
225	6.194097301
226	6.194018942
227	6.193932543
228	6.193853734
229	6.19376067
230	6.193644764
231	6.193234449
232	6.193143057
233	6.193068209
234	6.192957582
235	6.192855995
236	6.19276826
237	6.192699569
238	6.192614741
239	6.192491691
240	6.192425092
241	6.192336719
242	6.192239878
243	6.19211815
244	6.192012022
245	6.1919007
246	6.191834754
247	6.191744379
248	6.191617161
249	6.191527173
250	6.191437248
251	6.19134552
252	6.191009186
253	6.190601631
254	6.190491049
255	6.190424326
256	6.190337354
257	6.190194967
258	6.190100426
259	6.189994147
260	6.189878323
261	6.189793024
262	6.189708122
263	6.189598002
264	6.189529191
265	6.189445765
266	6.189361837
267	6.189286162
268	6.189187615
269	6.189105792
270	6.189024434
271	6.188936872
272	6.188880863
273	6.18877454
274	6.188689962
275	6.188603843
276	6.188537323
277	6.188441789
278	6.188329613
279	6.188217982
280	6.188134164
281	6.188056916
282	6.18795992
283	6.187871454
284	6.187814094
285	6.18773285
286	6.187506254
287	6.18740636
288	6.186981381
289	6.186722198
290	6.186635843
291	6.186547962
292	6.186460129
293	6.186371812
294	6.186293569
295	6.186203614
296	6.186121319
297	6.18602985
298	6.185950281
299	6.185878366
300	6.185800819
301	6.185727857
302	6.185627304
303	6.185541179
304	6.185467215
305	6.185362305
306	6.185274599
307	6.185178362
308	6.185067095
309	6.18498544
310	6.18491472
311	6.184839854
312	6.18474204
313	6.184646801
314	6.184558353
315	6.184489355
316	6.184429336
317	6.184358846
318	6.184271395
319	6.184202773
320	6.184120242
321	6.184028139
322	6.184008673
323	6.183939235
324	6.183874022
325	6.183790169
326	6.183691298
327	6.183614717
328	6.183493634
329	6.18342597
330	6.183352891
331	6.183281709
332	6.183207242
333	6.183115897
334	6.183038207
335	6.182964726
336	6.182877585
337	6.182828939
338	6.182749863
339	6.182675512
340	6.182604251
341	6.182469141
342	6.182382047
343	6.182305833
344	6.182234011
345	6.182147992
346	6.182082349
347	6.181805037
348	6.181725336
349	6.181641883
350	6.18156027
351	6.181487947
352	6.181411162
353	6.181296347
354	6.181103174
355	6.181018217
356	6.18094176
357	6.180881067
358	6.18081614
359	6.180741341
360	6.180700926
361	6.180630753
362	6.180561707
363	6.180460017
364	6.180389446
365	6.180314425
366	6.180202951
367	6.180116665
368	6.180010157
369	6.179945197
370	6.179861322
371	6.179817377
372	6.179730038
373	6.179650823
374	6.179581131
375	6.179494151
376	6.179443473
377	6.179365738
378	6.179292129
379	6.179205743
380	6.179105548
381	6.17893846
382	6.178845369
383	6.178657141
384	6.178606485
385	6.178533337
386	6.178455583
