iter	RMSE
387	6.178372541
388	6.178301034
389	6.178234658
390	6.178157334
391	6.178079988
392	6.177998507
393	6.177925514
394	6.177862078
395	6.177783615
396	6.177712511
397	6.177629878
398	6.177540296
399	6.177469086
400	6.177361807
401	6.177282771
402	6.177221671
403	6.177128959
404	6.177053627
405	6.176989962
406	6.176914702
407	6.176859372
408	6.176805992
409	6.176724201
410	6.176649766
411	6.176568688
412	6.176503432
413	6.176447017
414	6.17637797
415	6.176302282
416	6.176236901
417	6.17616546
418	6.176086694
419	6.176017139
420	6.17594758
421	6.175887974
422	6.175801915
423	6.175723547
424	6.175646182
425	6.175589881
426	6.175539119
427	6.17547624
428	6.175397127
429	6.175376508
430	6.175308867
431	6.175242305
432	6.175183588
433	6.175095088
434	6.175003198
435	6.174926206
436	6.174871936
437	6.174827857
438	6.174627681
439	6.174565494
440	6.174475954
441	6.174418625
442	6.174348407
443	6.174271059
444	6.174205093
445	6.174048673
446	6.173983164
447	6.173828397
448	6.173803322
449	6.173740224
450	6.173661433
451	6.17360014
452	6.173537252
453	6.17348443
454	6.173424911
455	6.173408503
456	6.173351501
457	6.173284865
458	6.173217783
459	6.173157564
460	6.173085711
461	6.1730088
462	6.172953866
463	6.172901631
464	6.172831598
465	6.172775318
466	6.172721863
467	6.172659281
468	6.172596357
469	6.172548086
470	6.172534164
471	6.172463795
472	6.172410077
473	6.172369366
474	6.172294967
475	6.172240875
476	6.1721979
477	6.17213823
478	6.172084548
479	6.172008012
480	6.171927516
481	6.171857695
482	6.171796956
483	6.171725172
484	6.171669554
485	6.171621856
486	6.171549875
487	6.171481185
488	6.171428823
489	6.171367176
490	6.171300513
491	6.171215269
492	6.171132603
493	6.17097154
494	6.170909992
495	6.17083773
496	6.170794864
497	6.170753628
498	6.170696505
499	6.170652306
500	6.170585308
501	6.170482669
502	6.170408988
503	6.170319457
504	6.170255376
505	6.170199498
506	6.170139796
507	6.170003528
508	6.169944702
509	6.169879039
510	6.169816733
511	6.169742607
512	6.169681319
513	6.169610007
514	6.169540644
515	6.169452981
516	6.169429416
517	6.169289343
518	6.169232625
519	6.169166213
520	6.169099966
521	6.169049974
522	6.168980969
523	6.168929369
524	6.168835906
525	6.16877458
526	6.1687105
527	6.168638492
528	6.168579266
529	6.168525856
530	6.168467939
531	6.16838635
532	6.16819558
533	6.168154441
534	6.16809525
535	6.16803393
536	6.167967336
537	6.167895476
538	6.167829796
539	6.167771621
540	6.167708234
541	6.167641167
542	6.167580663
543	6.167513949
544	6.167455596
545	6.16740031
546	6.167321979
547	6.167216331
548	6.167161605
549	6.16709752
550	6.167038438
551	6.166975041
552	6.166905985
553	6.166848847
554	6.166697335
555	6.166636435
556	6.1665785
557	6.166506755
558	6.166447892
559	6.166377466
560	6.166319829
561	6.166256705
562	6.166184124
563	6.166127197
564	6.166065711
565	6.165998187
566	6.165932571
567	6.165882324
568	6.165822301
569	6.165780561
570	6.165725204
571	6.165653967
572	6.16564021
573	6.165566398
574	6.165503111
575	6.165439351
576	6.165373624
577	6.165317986
578	6.165256113
579	6.165190164
580	6.165119683
581	6.165074195
582	6.165018767
583	6.164966036
584	6.164902714
585	6.164843021
586	6.164790746
587	6.164757193
588	6.164699126
589	6.164648269
590	6.164556619
591	6.164488427
592	6.16433214
593	6.164278914
594	6.164226628
595	6.164137126
596	6.164080352
597	6.163981556
598	6.163932266
599	6.16388142
600	6.163821217
601	6.163763349
602	6.163703825
603	6.163640319
604	6.163586047
605	6.163539101
606	6.163484799
607	6.163414275
608	6.163366234
609	6.163315043
610	6.163276588
611	6.163202475
612	6.163137198
613	6.163070149
614	6.163023744
615	6.162980139
616	6.162913341
617	6.16285767
618	6.162791696
619	6.162731872
620	6.162672249
621	6.162623023
622	6.162576133
623	6.162535672
624	6.162504947
625	6.162424435
626	6.162363273
627	6.16230583
628	6.162260727
629	6.162249528
630	6.16219575
631	6.162142972
632	6.162089945
633	6.162029592
634	6.161974138
635	6.161929553
636	6.16187999
637	6.161828567
638	6.161764659
639	6.161727039
640	6.16166405
641	6.161617673
642	6.161564438
643	6.161507797
644	6.161457266
645	6.161345006
646	6.161281335
647	6.161244468
648	6.161192678
649	6.161177024
650	6.161100239
651	6.161043652
652	6.160972549
653	6.160948893
654	6.16089062
655	6.160848018
656	6.160796269
657	6.160730326
658	6.16066935
659	6.160614527
660	6.16056928
661	6.16050729
662	6.160449184
663	6.160397184
664	6.160313798
665	6.160248249
666	6.160197258
667	6.160140923
668	6.160086227
669	6.160038944
670	6.159993379
671	6.159939979
672	6.159873269
673	6.15982895
674	6.15977693
675	6.159713894
676	6.159656391
677	6.159609745
678	6.159563233
679	6.159502416
680	6.159461347
681	6.159403926
682	6.159356155
683	6.159285296
684	6.159230372
685	6.159103271
686	6.159053239
687	6.159001532
688	6.158939222
689	6.158869914
690	6.158814014
691	6.158753826
692	6.158706084
693	6.15865343
694	6.158583473
695	6.158521204
696	6.158464981
697	6.158405606
698	6.158366323
699	6.15829768
700	6.158244703
701	6.158147336
702	6.158089712
703	6.158033394
704	6.157990967
705	6.157953291
706	6.157906839
707	6.157854903
708	6.157798163
709	6.157745065
710	6.157704791
711	6.15765862
712	6.157597011
713	6.157542792
714	6.157483746
715	6.157430189
716	6.15738014
717	6.157316229
718	6.15726139
719	6.157223185
720	6.157174255
721	6.157128398
722	6.157070604
723	6.157017499
724	6.156961312
725	6.15690813
726	6.156857813
727	6.156803189
728	6.156750057
729	6.156688355
730	6.156625367
731	6.156567024
732	6.156528409
733	6.156462045
734	6.156406285
735	6.156352666
736	6.156304678
737	6.156249208
738	6.156195985
739	6.156157989
740	6.156108227
741	6.156053776
742	6.15600072
743	6.155943148
744	6.155883802
745	6.155814006
746	6.155757444
747	6.155717046
748	6.155672144
749	6.155627421
750	6.155574449
751	6.155524983
752	6.155486699
753	6.155438345
754	6.155376844
755	6.15533861
756	6.155254075
757	6.155207983
758	6.155178017
759	6.155142465
760	6.155091929
761	6.155035692
762	6.154985442
763	6.154925483
764	6.154876926
765	6.154818849
766	6.154763708
767	6.15470026
768	6.154649138
769	6.15458654
770	6.154518254
771	6.154459655
772	6.154401146
773	6.15432637
774	6.154282732
775	6.154218578
776	6.154141841
777	6.15409427
778	6.154055552
779	6.153995017
780	6.153940549
781	6.153898033
782	6.153828103
783	6.153801602
784	6.153744224
785	6.153696524
786	6.15364802
787	6.153587237
788	6.15353334
789	6.153475549
790	6.153428544
791	6.153370285
792	6.153315882
793	6.153307171
794	6.153248408
795	6.153178371
796	6.153151683
797	6.15308013
798	6.153037392
799	6.152988422
800	6.152924891
801	6.152882104
802	6.15283148
803	6.15278272
804	6.152737596
805	6.152729827
806	6.152676052
807	6.152633238
808	6.152592843
809	6.152550889
810	6.152501596
811	6.152460454
812	6.152408436
813	6.152357629
814	6.15228541
815	6.152229515
816	6.152222225
817	6.152164584
818	6.152122098
819	6.152074622
820	6.152028871
821	6.151925945
822	6.151878709
823	6.151819306
824	6.151768812
825	6.151700832
826	6.151651357
827	6.151606147
828	6.151548319
829	6.151512937
830	6.151463614
831	6.151419797
832	6.151364269
833	6.15130035
834	6.151260934
835	6.151188004
836	6.151137555
837	6.151100773
838	6.151041016
839	6.151000778
840	6.150965787
841	6.150927265
842	6.150883922
843	6.150808652
844	6.150760142
845	6.15070464
846	6.150654429
847	6.150597141
848	6.150542827
849	6.150498654
850	6.150452428
851	6.150403576
852	6.150350323
853	6.150281714
854	6.150224524
855	6.150174219
856	6.150122983
857	6.150072291
858	6.150022821
859	6.149994818
860	6.149935352
861	6.149894346
862	6.149845207
863	6.149793594
864	6.149758186
865	6.149708865
866	6.149656655
867	6.149607765
868	6.14955184
869	6.149498555
870	6.149449557
871	6.149407897
872	6.149355143
873	6.149303841
874	6.149257554
875	6.149224228
876	6.149172082
877	6.149125029
878	6.149077417
879	6.149029458
880	6.148987933
881	6.148943221
882	6.148841865
883	6.148806965
884	6.148760753
885	6.148721822
886	6.148678027
887	6.148641425
888	6.148616412
889	6.148573414
890	6.148526314
891	6.148488555
892	6.148422084
893	6.148374366
894	6.148323835
895	6.148277878
896	6.148244226
897	6.14819655
898	6.148137967
899	6.148122458
900	6.148085948
901	6.148031897
902	6.14798457
903	6.147927076
904	6.147889661
905	6.147831252
906	6.147796114
907	6.147749792
908	6.147701494
909	6.14766501
910	6.147610299
911	6.147570766
912	6.147511055
913	6.147464817
914	6.147426227
915	6.147369347
916	6.147334955
917	6.147290372
918	6.14723971
919	6.147183695
920	6.147138946
921	6.147090993
922	6.147044443
923	6.146992429
924	6.146945795
925	6.146907112
926	6.146866569
927	6.146809401
928	6.146763149
929	6.146720774
930	6.146670339
931	6.146620268
932	6.146566953
933	6.146500435
934	6.14645201
935	6.146407577
936	6.146356004
937	6.146298525
938	6.146259328
939	6.146209439
940	6.146167359
941	6.14612119
942	6.146067485
943	6.146023107
944	6.14597531
945	6.145923507
946	6.145882381
947	6.145812522
948	6.145773768
949	6.145728617
950	6.145682439
951	6.145648696
952	6.145604244
953	6.145553858
954	6.145505546
955	6.145460202
956	6.145410887
957	6.145368926
958	6.145318212
959	6.145269324
960	6.145216931
961	6.14516435
962	6.145119473
963	6.145066017
964	6.145021095
965	6.144983225
966	6.144934522
967	6.144875508
968	6.144834691
969	6.144774354
970	6.144730039
971	6.144682859
972	6.144635108
973	6.144577475
974	6.144533415
975	6.144489202
976	6.14444963
977	6.144402314
978	6.144357974
979	6.144320728
980	6.144272718
981	6.144258135
982	6.144194505
983	6.144150761
984	6.144109159
985	6.144054715
986	6.144011118
987	6.14396276
988	6.143915065
989	6.1438598
990	6.143808882
991	6.143756638
992	6.143715108
993	6.143678441
994	6.1436248
995	6.143573167
996	6.143527871
997	6.143481447
998	6.143466277
999	6.143391279
