일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,26000,26450,25800,26150,847,22,,
2024-03-12,25900,26050,25850,25950,206,5,,
2024-03-11,26400,26400,25450,25900,442,11,,
2024-03-08,27100,27100,25750,25900,393,10,,
2024-03-07,26500,26500,25700,25950,271,7,,
2024-03-06,26250,26350,25800,25900,1987,52,,
2024-03-05,26750,26950,26250,26650,1600,42,,
2024-03-04,27550,27900,26750,26750,2235,61,,
2024-02-29,27900,27900,26950,27600,3969,109,,
2024-02-28,27750,28400,27750,27900,2351,66,,
2024-02-27,27550,28300,27550,28100,3049,86,,
2024-02-26,27600,28300,27500,27900,3717,103,,
2024-02-23,27850,27850,27600,27700,694,19,,
2024-02-22,27900,27950,27100,27800,2219,61,,
2024-02-21,27850,28150,27700,27850,2915,81,,
2024-02-20,28400,28400,27500,28050,1750,49,,
2024-02-19,28100,28650,28100,28250,4282,121,,
2024-02-16,28300,28400,27900,28350,1831,52,,
2024-02-15,28100,28100,27500,27900,2285,64,,
2024-02-14,28550,28700,27350,28100,5821,162,,
2024-02-13,28750,31600,28250,28500,17485,510,,
2024-02-08,28400,28450,27950,28400,3484,98,,
2024-02-07,28100,28800,28000,28400,1694,48,,
2024-02-06,28350,28400,27950,28400,1723,48,,
2024-02-05,29000,29000,28200,28300,1087,31,,
2024-02-02,28350,28850,28000,28800,1874,53,,
2024-02-01,29550,30200,28000,28400,10877,313,,
2024-01-31,28400,29150,27500,28000,3925,116,,
2024-01-30,28400,28400,27500,27650,989,27,,
2024-01-29,27550,28250,27500,27700,635,18,,
2024-01-26,27250,28200,27000,28000,1147,32,,
2024-01-25,26850,27250,26650,27250,1153,31,,
2024-01-24,26800,27600,26800,26900,1353,37,,
2024-01-23,27000,27650,26600,27450,929,25,,
2024-01-22,26950,27800,26800,27050,764,21,,
2024-01-19,28150,28200,26800,26850,3572,97,,
2024-01-18,29000,29000,27500,27850,3255,91,,
2024-01-17,29150,29450,28050,28550,2235,64,,
2024-01-16,29300,29500,28800,29150,3691,107,,
2024-01-15,30000,33050,28950,29700,27510,851,,
2024-01-12,29700,30250,28400,29000,3725,108,,
2024-01-11,30300,30900,29600,30350,2082,63,,
2024-01-10,30050,30850,29550,30200,4368,132,,
2024-01-09,29850,31100,29850,30050,5281,161,,
2024-01-08,30900,31450,29800,29800,6026,184,,
2024-01-05,30600,31350,29250,30950,13901,425,,
2024-01-04,29550,30400,29400,29600,5735,170,,
2024-01-03,29850,31000,29250,29750,9526,287,,
2024-01-02,29850,30500,28900,30250,7911,237,,
2023-12-28,27700,28950,27250,28900,6017,171,,
2023-12-27,28250,28900,26800,27250,6353,175,4,0.00
2023-12-26,30200,30200,28200,28200,6757,195,,
2023-12-22,30300,30900,29700,30200,10328,312,,
2023-12-21,30700,31600,29500,30200,14587,443,,
2023-12-20,29150,34100,29150,30700,104109,3343,,
2023-12-19,29100,29350,28400,29150,4603,133,,
2023-12-18,28700,29350,27850,29000,4404,126,,
2023-12-15,27750,28450,27100,28350,3203,89,,
2023-12-14,27100,28600,26700,27750,8597,236,,
2023-12-13,28300,28300,26950,27050,5875,161,,
2023-12-12,27750,28250,27350,28150,7414,206,,
2023-12-11,28100,29100,27450,28200,7189,202,,
2023-12-08,27400,30000,27100,28000,17286,486,,
2023-12-07,25950,31000,25400,28200,73642,2104,,
2023-12-06,25800,26200,25350,25950,4126,106,,
2023-12-05,26000,26450,25300,26450,3268,84,,
2023-12-04,25650,27000,25450,26300,10309,274,,
2023-12-01,25350,26600,25250,26000,18131,468,,
2023-11-30,24800,25400,24650,25350,2370,59,,
2023-11-29,25500,25500,24750,24750,2103,52,,
2023-11-28,25400,25500,25150,25500,4184,106,,
2023-11-27,24800,25600,24800,25500,3186,80,,
2023-11-24,24950,25250,24600,25150,4235,105,,
2023-11-23,25250,25300,24900,25100,638,16,,
2023-11-22,24950,25300,24850,25050,1275,32,,
2023-11-21,24950,25300,24750,25150,6075,152,,
2023-11-20,24650,24900,24200,24850,2366,58,,
2023-11-17,24000,24850,24000,24650,5395,132,,
2023-11-16,24050,24800,24000,24450,2689,66,,
2023-11-15,24050,24750,23850,24350,2940,72,,
2023-11-14,23600,24050,23550,23800,618,15,,
2023-11-13,23700,24200,23700,23800,695,17,,
2023-11-10,24050,24400,23750,24100,2710,65,,
2023-11-09,23950,24400,23850,24300,1566,38,,
2023-11-08,23900,24150,23700,23950,1074,26,,
2023-11-07,23800,24000,23600,23800,685,16,,
2023-11-06,23750,24050,23300,24000,4552,108,,
2023-11-03,23700,23900,23250,23650,3455,81,,
2023-11-02,23850,24250,23550,23700,5345,127,,
2023-11-01,23300,24600,23100,24000,4255,101,,
2023-10-31,24700,24700,23300,23300,14989,359,,
2023-10-30,24050,27600,23800,24200,26684,674,,
2023-10-27,23700,24450,23700,24100,255,6,,
2023-10-26,23200,23950,23200,23650,1623,38,,
2023-10-25,24300,24400,23800,24150,701,17,,
2023-10-24,24400,24500,23950,24300,1062,26,,
2023-10-23,24700,25400,23700,24300,4850,117,,
2023-10-20,25150,25150,24200,24550,1705,42,,
2023-10-19,24750,25550,24150,25150,13659,345,,
2023-10-18,24050,25650,23750,24800,10104,251,,
2023-10-17,23600,24200,23600,23950,1721,41,,
2023-10-16,24900,24900,23800,24200,1743,42,,
2023-10-13,24050,24950,24000,24700,2158,53,,
2023-10-12,23600,24700,23600,24350,362,9,,
2023-10-11,24500,24750,23950,24250,3078,74,,
2023-10-10,24500,24600,24050,24150,2246,54,,
2023-10-06,24450,24700,24150,24650,177,4,,
2023-10-05,24550,24950,24400,24400,659,16,,
2023-10-04,25050,25050,24550,24750,760,19,,
2023-09-27,24550,25350,24200,25250,1072,27,,
2023-09-26,25450,25450,24600,24850,927,23,,
2023-09-25,24300,25350,24300,25050,1616,41,,
2023-09-22,24300,24650,24100,24550,984,24,,
2023-09-21,24550,24900,24050,24400,2031,50,,
2023-09-20,24600,24750,24550,24700,936,23,,
2023-09-19,24850,25200,24650,24700,759,19,,
2023-09-18,24950,25100,24600,24950,1674,41,,
2023-09-15,25650,26050,24700,24900,2747,69,,
2023-09-14,24100,25600,24100,25400,9553,242,,
2023-09-13,24100,24500,24100,24350,3157,77,,
2023-09-12,24400,24450,24100,24350,1753,42,,
2023-09-11,23900,24400,23750,24150,779,19,,
2023-09-08,24050,24150,23900,24000,1264,30,,
2023-09-07,24050,24500,23850,24000,1355,33,,
2023-09-06,24300,24350,24000,24200,864,21,,
2023-09-05,24200,24500,24000,24300,2209,53,,
2023-09-04,24350,24350,23900,24200,1210,29,,
2023-09-01,24450,24600,23950,24200,2789,68,,
2023-08-31,24500,24650,24350,24400,849,21,,
2023-08-30,24350,24600,24200,24500,735,18,,
