일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,8410,8440,8340,8420,688,6,,
2024-03-12,8370,8400,8220,8400,2466,20,,
2024-03-11,8400,8610,8260,8380,2639,22,,
2024-03-08,8580,8610,8310,8530,1949,16,,
2024-03-07,8540,8650,8470,8580,2068,18,,
2024-03-06,8630,8630,8220,8540,1792,15,,
2024-03-05,8840,8840,8540,8540,1887,16,,
2024-03-04,8870,9050,8770,8840,1019,9,,
2024-02-29,8870,8910,8700,8870,1771,16,,
2024-02-28,8840,9000,8830,8870,461,4,,
2024-02-27,8920,8920,8770,8840,880,8,,
2024-02-26,8920,8950,8620,8920,3479,31,,
2024-02-23,8990,9290,8800,8930,2422,22,,
2024-02-22,9130,9150,8760,8920,2241,20,,
2024-02-21,9070,9280,9050,9120,451,4,,
2024-02-20,9120,9120,9000,9090,916,8,,
2024-02-19,9070,9190,9030,9120,1111,10,,
2024-02-16,9180,9380,9040,9040,1641,15,,
2024-02-15,9400,9400,9100,9100,1856,17,,
2024-02-14,9350,9350,8800,9350,1254,11,,
2024-02-13,9170,9490,9150,9250,1742,16,,
2024-02-08,9160,9180,9060,9160,348,3,,
2024-02-07,9190,9490,9010,9140,1142,10,,
2024-02-06,9170,9490,9010,9140,918,8,,
2024-02-05,9560,9560,9090,9140,1205,11,,
2024-02-02,9220,9280,9220,9250,359,3,,
2024-02-01,9270,9270,9110,9220,1313,12,,
2024-01-31,9320,9320,9200,9270,919,9,,
2024-01-30,9500,9500,9120,9330,2296,21,,
2024-01-29,9520,9550,9460,9470,824,8,,
2024-01-26,9650,9650,9470,9500,2192,21,,
2024-01-25,9700,9750,9570,9650,925,9,,
2024-01-24,9950,9990,9690,9790,749,7,,
2024-01-23,9800,9800,9610,9790,1625,16,,
2024-01-22,9840,9920,9790,9820,742,7,,
2024-01-19,9800,10150,9800,9850,2612,26,,
2024-01-18,9920,9920,9810,9820,504,5,,
2024-01-17,9900,10000,9750,9920,1741,17,,
2024-01-16,9990,10060,9950,10000,646,6,,
2024-01-15,9990,10200,9900,10080,2060,21,,
2024-01-12,10040,10180,10000,10100,1416,14,,
2024-01-11,10260,10260,10020,10160,1493,15,,
2024-01-10,10420,10420,10190,10250,1669,17,,
2024-01-09,10160,10250,10070,10210,1066,11,,
2024-01-08,10200,10200,9940,10160,2415,24,,
2024-01-05,10220,10230,10040,10200,410,4,,
2024-01-04,10210,10290,10030,10220,1483,15,,
2024-01-03,10070,10460,10070,10320,5110,52,,
2024-01-02,10190,10240,9820,10200,2956,30,,
2023-12-28,9980,10200,9910,10200,8619,87,,
2023-12-27,9890,10000,9820,9900,3208,32,4,0.00
2023-12-26,9840,9990,9830,9890,1052,10,,
2023-12-22,9890,9940,9810,9900,1443,14,,
2023-12-21,9930,10200,9830,9990,4889,49,,
2023-12-20,9940,10130,9840,10030,3209,32,,
2023-12-19,10050,10330,9900,10050,1997,20,,
2023-12-18,10250,10290,10040,10190,1665,17,,
2023-12-15,10230,10550,9700,10250,8251,85,,
2023-12-14,10370,10580,10140,10250,9051,94,,
2023-12-13,10400,10450,10060,10310,4906,50,,
2023-12-12,10390,10470,10000,10370,15721,160,,
2023-12-11,9790,10530,9770,10400,47427,483,,
2023-12-08,9540,10480,9400,9990,23131,227,,
2023-12-07,9520,9600,9460,9540,1070,10,,
2023-12-06,9480,9650,9360,9510,965,9,,
2023-12-05,9490,9580,9340,9480,3273,31,,
2023-12-04,9710,9760,9530,9570,7894,75,,
2023-12-01,9600,9780,9510,9700,6403,62,,
2023-11-30,9470,9780,9470,9690,11204,108,,
2023-11-29,9550,9680,9400,9470,4168,40,,
2023-11-28,9740,9800,9420,9530,7025,67,,
2023-11-27,9730,10400,9450,9680,79377,788,,
2023-11-24,9080,9770,9080,9490,19764,187,,
2023-11-23,9050,9100,8870,9080,2600,24,,
2023-11-22,9050,9150,8950,9050,635,6,,
2023-11-21,8990,9280,8830,9110,5689,51,,
2023-11-20,8630,9500,8620,9070,20186,185,,
2023-11-17,8810,8840,8560,8630,482,4,,
2023-11-16,8790,8830,8670,8810,839,7,,
2023-11-15,8600,8800,8600,8790,6673,58,,
2023-11-14,8500,8590,8500,8590,1434,12,,
2023-11-13,8410,8530,8390,8500,650,5,,
2023-11-10,8500,8500,7980,8400,1107,9,,
2023-11-09,8430,8540,8300,8500,1048,9,,
2023-11-08,8610,8650,8410,8510,482,4,,
2023-11-07,8650,8720,8330,8590,8265,71,,
2023-11-06,8190,8700,8190,8650,6794,58,,
2023-11-03,8200,8210,7990,8180,3629,29,,
2023-11-02,7970,8230,7970,8190,2996,24,,
2023-11-01,7920,8000,7700,7900,2205,17,,
2023-10-31,8130,8130,7840,7960,1401,11,,
2023-10-30,8100,8410,7950,8130,5244,42,,
2023-10-27,8130,8130,7950,8100,1660,13,,
2023-10-26,8090,8150,7980,8120,1655,13,,
2023-10-25,8260,8340,8100,8200,8769,71,,
2023-10-24,8220,8590,8100,8260,9158,75,,
2023-10-23,8750,8750,8520,8530,1715,15,,
2023-10-20,8810,8810,8350,8750,1960,17,,
2023-10-19,8910,8910,8700,8780,360,3,,
2023-10-18,8780,8920,8700,8910,1606,14,,
2023-10-17,8790,8930,8780,8820,679,6,,
2023-10-16,8890,8890,8690,8790,1490,13,,
2023-10-13,8910,9030,8800,8990,2297,20,,
2023-10-12,9110,9190,9070,9090,1681,15,,
2023-10-11,9060,9240,8990,9090,565,5,,
2023-10-10,9100,9100,8830,9060,1068,10,,
2023-10-06,8890,9100,8840,9100,1409,13,,
2023-10-05,9000,9090,8670,8890,3458,31,,
2023-10-04,9230,9230,8800,9070,4396,39,,
2023-09-27,9200,9300,8960,9300,3633,33,,
2023-09-26,9250,9250,8960,9210,5692,52,,
2023-09-25,9250,9260,8930,9100,6024,54,,
2023-09-22,9290,9440,9100,9250,5271,49,,
2023-09-21,9700,9800,9270,9340,10728,101,,
2023-09-20,10110,10190,9590,9810,19441,190,,
2023-09-19,10110,10120,9870,9990,15177,151,,
2023-09-18,10150,10260,10120,10220,3670,37,,
2023-09-15,10480,10560,10120,10230,20139,209,,
2023-09-14,10400,10490,10140,10380,8073,83,,
2023-09-13,10350,10420,10010,10400,13500,137,,
