일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,-1964047,1026128,844118,7261,77180,225629,0,49291,316642,168115,94744
2024-03-12,-752675,-371586,1096935,103039,87626,238072,4027,-2107,350624,315654,33057
2024-03-11,-3780902,2210872,1612197,406604,90064,370286,0,12000,323910,409333,-37852
2024-03-08,-481815,214310,266353,321787,3644,-7808,-269,0,-25418,-25583,1423
2024-03-07,30153,-24162,-3781,2254,-4781,-273,0,0,5797,-6778,-1975
2024-03-06,-110014,89546,9161,-45327,18106,-53483,0,0,89051,814,10930
2024-03-05,512218,-167554,-372505,-249607,-17465,-26745,0,-5421,-1123,-72144,19985
2024-03-04,1021350,-709354,-311857,-115819,-6857,-12147,0,0,-160127,-16907,2918
2024-02-29,-164119,172041,-4614,-133607,7064,15798,0,0,123977,-17846,-1776
2024-02-28,-305678,139481,161054,96276,34592,19437,0,0,15130,-4381,2785
2024-02-27,-166901,122268,65962,-13350,14985,42206,1,0,34888,-12768,-17557
2024-02-26,213624,-183263,-21527,-49822,7883,-2014,4092,0,-17203,35537,-7804
2024-02-23,-249601,16619,279293,-81206,39627,44717,-13060,0,328918,-39703,-48035
2024-02-22,-985223,384218,565814,200159,52222,181314,-25000,1990,169256,-14127,42865
2024-02-21,-1608778,998523,616887,124397,62903,130073,-5000,9375,142296,152843,-3718
2024-02-20,68919,255237,-333351,-201397,1229,53199,0,0,-190904,4522,10431
2024-02-19,-674044,559205,111713,178643,-744,-3178,-1,-3080,-79354,19427,3310
2024-02-16,180239,79899,-261706,38794,-31223,-35278,-5501,6158,-184990,-49666,1426
2024-02-15,-460,58365,-44835,60750,-10340,8827,0,0,-103339,-733,-12519
2024-02-14,142923,-1014,-144158,-142761,1914,-28642,0,0,4928,20403,902
2024-02-13,-295428,-64577,367311,288861,-17691,-14199,0,0,101271,9069,-5482
2024-02-08,-704150,326287,374377,233759,-54885,-5730,0,0,203501,-2268,4100
2024-02-07,-155735,34752,119038,156550,-10945,-33572,0,-33,13362,-6324,1506
2024-02-06,-86987,188717,-99683,-22951,-17676,-49262,-13,-8750,8927,-9958,-3419
2024-02-05,1474905,-832770,-655332,-509662,-10202,-26243,1,0,-59306,-49920,10770
2024-02-02,-2226218,1303743,919298,272599,73548,48000,-20001,0,501531,43621,9347
2024-02-01,188202,19685,-197313,-135910,-34126,86,0,0,-26154,-1209,-9841
2024-01-31,-586829,651314,-59748,-77018,-4448,3526,0,0,18334,-142,-2476
2024-01-30,97873,17873,-119259,-6132,4871,-31444,0,0,-86263,-291,3310
2024-01-29,-552504,405897,151724,45315,2345,8295,7500,0,72638,15631,-2858
2024-01-26,-792248,807561,-7117,-37080,-4082,3299,0,0,29765,981,-8279
2024-01-25,37567,244248,-258437,-157941,-2383,-1630,0,0,-95935,-548,-24568
2024-01-24,54282,105817,-161417,-2653,-456,-25616,0,0,-133718,1026,1481
2024-01-23,-316051,294751,23601,104645,-10886,-44928,0,0,-28050,2820,-1642
2024-01-22,72333,-38621,-37861,8846,4413,-6690,7500,0,-49187,-2743,1741
2024-01-19,-520100,335877,182751,86174,1964,77384,0,0,3368,13861,2319
2024-01-18,-291098,162096,144467,58902,-163,6535,0,0,92753,-13560,-15521
2024-01-17,665929,-461250,-211302,-69621,1943,-33690,50,0,-77872,-32112,6152
2024-01-16,7666,142288,-150048,-114575,39,437,0,0,-36902,953,-1333
2024-01-15,-289779,151661,134046,24260,-1075,29026,0,0,76311,5524,3790
2024-01-12,31936,18063,-47567,-25604,12995,-9284,0,0,-20227,-5447,-2843
2024-01-11,-88034,289697,-202358,-134893,-4015,-9803,-1,-2614,-31205,-19827,6780
2024-01-10,506646,-117085,-396174,-161345,-21812,-1617,1,0,-190869,-20532,3505
2024-01-09,-115644,167624,-57644,35610,-1142,-40430,-296,0,-46843,-4543,-517
2024-01-08,28789,91255,-127884,-65220,699,-664,0,0,-62315,-384,12287
2024-01-05,60479,137191,-193520,-100204,-3316,-22529,0,0,-62780,-4691,-6073
2024-01-04,-3935,138389,-139876,-210423,-3528,37725,0,0,48970,-12620,7267
2024-01-03,900809,-129488,-790907,-404861,29,-14341,0,0,-349014,-22720,15519
2024-01-02,-149937,282287,-146573,117408,-28162,-924,932,0,-218012,-17815,8879
2023-12-28,-860985,546583,354439,444817,-15439,-38388,-14389,2469,-27096,2465,-40239
2023-12-27,-194726,215438,8152,40470,-25917,26231,0,0,-32115,-517,-29288
2023-12-26,-594099,340416,297828,285631,-39481,16208,656,0,34370,444,-43817
2023-12-22,-292888,142577,158054,91759,-4622,16125,0,0,37540,17252,-4912
2023-12-21,640727,-103184,-537626,-124840,-23708,-10764,0,0,-369675,-8639,-1619
2023-12-20,-756889,434374,328242,335490,14836,12555,200,0,-35542,703,-2916
