일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,-4979,4933,103,103,0,0,0,0,0,0,100
2024-03-12,-6438,6742,-83,-83,0,0,0,0,0,0,-37
2024-03-11,2783,-2794,21,21,0,0,0,0,0,0,-10
2024-03-08,-18289,13975,3661,3661,0,0,0,0,0,0,239
2024-03-07,5707,-6596,154,154,0,0,0,0,0,0,750
2024-03-06,-5590,5746,62,62,0,0,0,0,0,0,0
2024-03-05,1282,-1301,14,14,0,0,0,0,0,0,0
2024-03-04,-3701,3636,59,59,0,0,0,0,0,0,0
2024-02-29,13105,-13135,77,77,0,0,0,0,0,0,0
2024-02-28,-649,682,-79,-79,0,0,0,0,0,0,0
2024-02-27,-1388,1196,149,149,0,0,0,0,0,0,0
2024-02-26,2626,-2933,107,107,0,0,0,0,0,0,0
2024-02-23,4705,-4892,42,42,0,0,0,0,0,0,65
2024-02-22,-882,876,15,15,0,0,0,0,0,0,0
2024-02-21,12513,-12362,0,0,0,0,0,0,0,0,-59
2024-02-20,4858,-5019,157,157,0,0,0,0,0,0,0
2024-02-19,-7697,7230,17,17,0,0,0,0,0,0,-3
2024-02-16,-2332,2169,219,219,0,0,0,0,0,0,0
2024-02-15,11602,-9283,201,201,0,0,0,0,0,0,-2400
2024-02-14,-5102,4976,65,65,0,0,0,0,0,0,0
2024-02-13,-10093,10049,40,40,0,0,0,0,0,0,-1
2024-02-08,-1281,2838,-57,-57,0,0,0,0,0,0,-1580
2024-02-07,-20391,21368,101,101,0,0,0,0,0,0,-830
2024-02-06,5971,-5469,-2,-2,0,0,0,0,0,0,-500
2024-02-05,4460,-6498,45,45,0,0,0,0,0,0,1900
2024-02-02,3516,-3446,173,173,0,0,0,0,0,0,-168
2024-02-01,-10968,11270,30,30,0,0,0,0,0,0,-332
2024-01-31,9583,-8604,6,6,0,0,0,0,0,0,-1000
2024-01-30,-9897,9816,41,41,0,0,0,0,0,0,0
2024-01-29,10319,-10432,223,223,0,0,0,0,0,0,-132
2024-01-26,-12073,9916,29,29,0,0,0,0,0,0,2181
2024-01-25,1048,-1064,6,6,0,0,0,0,0,0,0
2024-01-24,-7944,8394,35,35,0,0,0,0,0,0,-452
2024-01-23,37856,-39990,58,58,0,0,0,0,0,0,652
2024-01-22,6898,-7278,-9,-9,0,0,0,0,0,0,200
2024-01-19,-12844,13891,42,42,0,0,0,0,0,0,-1103
2024-01-18,-8326,7996,19,19,0,0,0,0,0,0,-30
2024-01-17,-15509,15355,70,70,0,0,0,0,0,0,0
2024-01-16,-1146,-2330,1113,1113,0,0,0,0,0,0,2412
2024-01-15,20168,-21328,924,924,0,0,0,0,0,0,190
2024-01-12,-17262,16333,18,19,0,0,-1,0,0,0,1402
2024-01-11,31030,-30358,-1,-1,0,0,0,0,0,0,28
2024-01-10,-56684,55069,-299,-299,0,0,0,0,0,0,-772
2024-01-09,31539,-19512,78,79,0,0,-1,0,0,0,-11638
2024-01-08,-8419,7919,0,0,0,0,0,0,0,0,500
2024-01-05,11335,-7822,-3515,10,0,0,0,0,-3525,0,-1
2024-01-04,34349,-33823,-546,-546,0,0,0,0,0,0,10
2024-01-03,13238,-13222,-36,-36,0,0,0,0,0,0,0
2024-01-02,-6841,8659,-1868,-1868,0,0,0,0,0,0,0
