일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,18091,-18424,-273,-9,-49,-135,0,0,0,-80,689
2024-03-12,-22581,-15058,35800,34995,-397,1202,0,0,0,0,1727
2024-03-11,-53351,51967,-651,-191,-236,0,0,0,0,-224,1251
2024-03-08,-17172,17442,-1195,-8,-427,-761,0,0,0,1,1253
2024-03-07,37589,-11494,-30051,244,-12944,-59,0,0,-17587,295,4155
2024-03-06,-3152,3564,-499,-69,-97,-132,0,0,-201,0,73
2024-03-05,43119,-23979,-19460,-5,-114,-34,0,0,-19298,-9,-484
2024-03-04,126214,-113394,-14271,-616,-83,-166,0,0,-12704,-702,1023
2024-02-29,-45495,43941,244,141,-121,0,0,0,0,224,1212
2024-02-28,-19542,21104,877,351,-103,-178,0,0,0,807,-3202
2024-02-27,-76589,89310,-11520,781,-243,-83,0,0,-12731,756,-3213
2024-02-26,-144909,152685,-11900,142,-11534,-69,0,0,0,-439,453
2024-02-23,-122619,134874,-17062,393,-591,0,0,0,-16964,100,5880
2024-02-22,-53250,63619,-12422,-13,-88,15,0,0,-12327,-9,1837
2024-02-21,93560,-4831,-80678,-12660,-30125,-5252,0,0,-32362,-279,-7796
2024-02-20,-1465,0,1610,-13,-328,23,0,0,0,1928,4
2024-02-19,-239,0,-1512,-39,-258,-1014,0,0,-201,0,1619
2024-02-16,-1750,0,-308,289,-301,-365,0,0,-150,219,2334
2024-02-15,15390,12570,-504,-11,0,-366,0,0,0,-127,2643
2024-02-14,89720,7523,-74044,6,-90,-24502,0,0,-51488,2030,-22920
2024-02-13,28859,-32083,310,-635,-435,-48,0,0,1157,271,-46
2024-02-08,3927,2198,-127,-313,-210,141,0,0,0,255,-6751
2024-02-07,-26877,23057,-89,8,-127,0,0,0,0,30,3935
2024-02-06,112282,-95518,-12153,-88,-134,-169,0,0,-11537,-225,658
2024-02-05,-15669,15969,94,49,-250,14,0,0,276,5,-298
2024-02-02,-2383,2598,200,-21,-118,27,0,0,354,-42,-287
2024-02-01,4136,-2789,-617,-609,-422,-254,0,0,668,0,-324
2024-01-31,-297,-3860,-353,-2,-351,0,0,0,0,0,4510
2024-01-30,3422,-5732,-140,-5,-135,0,0,0,0,0,2450
2024-01-29,12365,-12801,-172,-3,-146,-23,0,0,0,0,600
2024-01-26,-1146,1396,-557,-319,-241,1,0,0,-14,16,16
2024-01-25,16156,-13831,142,-89,-223,440,0,0,0,14,-2410
2024-01-24,13940,-12533,-1245,-298,-48,0,0,0,-899,0,-1500
2024-01-23,-4878,5092,-403,-226,-177,0,0,0,0,0,112
2024-01-22,-13580,17048,-4,-18,13,1,0,0,0,0,0
2024-01-19,-14084,14282,-336,-17,-330,11,0,0,0,0,452
2024-01-18,158,-209,1,-13,0,0,0,0,0,14,60
2024-01-17,22733,-23355,-63,-20,-85,0,0,0,0,42,681
2024-01-16,-5236,6267,-2240,196,-224,-75,0,0,-2182,45,1397
2024-01-15,14871,-11241,-2592,-186,-224,0,0,0,-2182,0,-25
2024-01-12,2135,9373,-10458,322,-180,5,0,0,-10605,0,-1050
2024-01-11,5294,-457,-4524,-38,-154,0,0,0,-4332,0,-215
2024-01-10,17551,-20670,-61,-22,-107,0,0,0,68,0,2880
2024-01-09,8323,-4545,-4963,302,-139,0,0,0,-5126,0,1181
2024-01-08,-17755,17334,-1631,-81,-370,0,0,0,-1187,7,62
2024-01-05,2916,-1471,-1545,-90,-225,7,0,0,-1209,-28,0
2024-01-04,9649,-7415,-1155,-741,-65,-302,0,0,32,-79,-1080
2024-01-03,2409,-306,-202,-207,55,-9,0,0,0,-41,0
2024-01-02,-4583,4724,-341,12,-362,5,0,0,0,4,0
2023-12-28,-71,4377,-316,15,175,0,0,0,-419,-87,-3990
2023-12-27,9312,-3067,-255,96,-466,1,0,0,0,114,-6000
2023-12-26,4716,6260,-464,5,-450,0,0,0,-57,38,-11001
2023-12-22,-2585,4556,-867,6,-266,-592,0,0,-15,0,-1000
2023-12-21,6667,4980,-11695,65,-165,-50,0,0,-11559,14,-152
2023-12-20,11009,-11138,249,252,-45,0,0,0,0,42,-175
2023-12-19,-3932,8372,-3499,69,-315,-840,0,0,-2455,42,-1050
2023-12-18,-17727,13768,3925,22,-134,0,0,0,4016,21,34
2023-12-15,178,3854,-4042,11,-182,-2340,0,0,-1573,42,0
2023-12-14,3764,-4466,2502,21,-217,24,0,0,2664,10,-1800
2023-12-13,-7298,-1893,9604,47,-225,-2243,0,0,11969,56,-303
2023-12-12,-146,470,-349,17,-50,0,0,0,-319,3,10
2023-12-11,-7828,7589,29,29,0,0,0,0,0,0,110
2023-12-08,-2335,2190,145,216,-146,5,0,0,0,70,0
2023-12-07,18309,-7394,-10895,0,-378,-10517,0,0,0,0,0
2023-12-06,1480,-139,-1333,-10,-674,-466,0,0,-275,92,-18
2023-12-05,7426,-5445,-2202,2,-204,0,0,0,-2000,0,11
2023-12-04,6493,-5317,-1189,0,-189,0,0,0,-1000,0,0
2023-12-01,-11358,10155,183,-5,188,0,0,0,0,0,0
2023-11-30,-5733,5933,-200,3,-203,0,0,0,0,0,0
2023-11-29,5530,-5512,-961,3,36,0,0,0,-1000,0,80
2023-11-28,-5537,6630,-1027,0,-116,60,0,0,-1000,29,10
2023-11-27,1469,-1810,-130,3,-133,0,0,0,0,0,10
2023-11-24,352,887,-1866,10,119,5,0,0,-2000,0,110
2023-11-23,10313,-6914,-3799,4,-136,0,0,0,-3674,7,400
2023-11-22,-1647,6587,-6440,54,20,0,0,0,-6514,0,1500
2023-11-21,2105,4278,-5752,-1,-211,0,0,0,-5540,0,-731
2023-11-20,-5143,9267,-4024,-8,0,20,0,0,-4036,0,0
2023-11-17,10609,-8498,-2111,19,-30,-2,0,0,-2000,-98,0
2023-11-16,625,3457,-4282,25,-460,0,0,0,-3763,-84,200
2023-11-15,-9569,11321,-1630,487,-152,13,0,0,-2000,22,0
2023-11-14,-7215,7887,-672,20,-171,0,0,0,-500,-21,0
2023-11-13,-1688,2151,-463,-36,-159,0,0,0,-226,-42,0
2023-11-10,386,159,-545,32,-154,0,0,0,0,-423,0
2023-11-09,8238,-1746,-6492,-7,-165,-250,0,0,-6000,-70,0
2023-11-08,6551,-7548,997,0,454,306,0,0,0,237,0
2023-11-07,2881,-2767,-89,5,-83,2,0,0,0,-13,0
2023-11-06,-5559,5506,-72,21,-118,-3,0,0,0,28,100
2023-11-03,-5349,6580,-139,-7,-141,9,0,0,0,0,-780
2023-11-02,-11681,11734,-185,6,-208,11,0,0,0,6,284
2023-11-01,-400,871,-78,15,-156,0,0,0,63,0,0
2023-10-31,1206,-843,80,13,67,0,0,0,0,0,-344
2023-10-30,-4615,4004,-73,11,-98,0,0,0,0,14,294
2023-10-27,1107,76,-1305,32,-43,-1294,0,0,0,0,122
2023-10-26,6843,-6598,-243,97,-268,-63,0,0,0,-9,0
2023-10-25,-1250,1492,27,46,-54,0,0,0,0,35,19
2023-10-24,-6992,8612,-4077,-4075,23,-25,0,0,0,0,2145
2023-10-23,38688,4780,-43410,-6,-129,-43275,0,0,0,0,-95
2023-10-20,14156,1879,-18164,5,-192,-17993,0,0,0,16,2127
2023-10-19,14663,-13595,-1083,2,-143,0,0,0,-975,33,-50
2023-10-18,21847,-12620,-8476,1,-121,-9660,0,0,1286,18,-372
2023-10-17,-9610,25928,-15581,-767,-193,-6500,0,0,-8121,0,-633
