일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,-32218,-32135,27787,449,2343,2504,0,0,15233,7258,36566
2024-03-12,-30703,-19866,16263,68,-1008,4115,0,0,3666,9422,34788
2024-03-11,-40015,23321,-17054,-9472,-550,-2440,0,0,-4592,0,34338
2024-03-08,-27418,14694,-16584,-20986,-1063,-1040,0,0,1802,4703,29283
2024-03-07,-26511,14908,-34398,-1390,72,-10949,0,0,0,-22131,46001
2024-03-06,-13665,27647,-48060,-52563,-334,5321,0,0,-350,-134,34078
2024-03-05,-34332,26216,-12069,-19744,-255,2811,0,0,6727,-1608,21851
2024-03-04,-14406,15319,-40759,-37088,-187,-713,0,0,0,-2771,39846
2024-02-29,722,5679,-32764,-527,-269,0,0,0,0,-31968,26363
2024-02-28,-12748,-4913,-3828,638,-234,-4227,0,0,0,-5,21489
2024-02-27,-28127,-7941,-1784,656,4461,2721,0,0,0,-9622,37852
2024-02-26,-91955,72738,-27144,-361,-179,824,0,0,0,-27428,46361
2024-02-23,-71525,87734,-59081,5065,-202,13,0,0,0,-63957,42872
2024-02-22,-21174,7572,5728,6974,-196,-74,0,0,0,-976,7874
2024-02-21,-55567,26447,7625,-11814,-423,-34,0,0,17574,2322,21504
2024-02-20,-62873,19469,16297,-67,-608,13572,0,0,0,3400,27207
2024-02-19,-27802,3693,2628,6008,-3399,1163,0,0,12182,-13326,21431
2024-02-16,-49077,70577,-40279,2208,-559,-15046,0,0,-392,-26490,18779
2024-02-15,-82695,-45734,80134,11682,2155,1062,0,0,45506,19729,48295
2024-02-14,-47485,30755,-45261,-14701,-166,151,0,0,-18319,-12226,61808
2024-02-13,-182517,204652,-13434,-5414,-871,12303,0,0,0,-19452,-8700
2024-02-08,-89496,64550,9964,-3086,-388,7814,0,0,0,5624,17081
2024-02-07,-199106,83732,100965,78168,-236,4272,0,0,19050,-289,14442
2024-02-06,-166747,5566,108778,39590,-741,14799,0,0,30393,24737,52773
2024-02-05,-11262,-72610,54468,3051,1479,8794,0,0,36461,4683,29364
2024-02-02,-398031,142224,248908,99321,-312,43733,0,0,68808,37358,10787
2024-02-01,-305097,41574,245803,19022,-784,36933,0,0,87106,103526,18367
2024-01-31,1780,27143,15590,-3913,12249,7254,0,0,0,0,-43000
2024-01-30,-34541,-3352,12686,-2418,-333,1534,0,0,8732,5171,20998
2024-01-29,-108086,44849,50137,844,2848,-111,0,0,11342,35214,13100
2024-01-26,-26150,5469,18181,-766,11913,7032,0,0,-38,40,2500
2024-01-25,-16314,5645,11669,-24,1929,6915,2810,0,0,39,-1000
2024-01-24,12087,-9498,-1389,-769,-88,0,0,0,-532,0,-1200
2024-01-23,5463,-5039,-921,-663,-277,19,0,0,0,0,500
2024-01-22,-358,3451,-1399,-1340,-60,1,0,0,0,0,-1694
2024-01-19,-10213,10112,88,787,-675,-23,0,0,0,-1,0
2024-01-18,-18019,843,16054,3113,0,754,0,0,6670,5517,1122
2024-01-17,-2540,-20572,23112,675,1110,5362,1394,0,11456,3115,0
2024-01-16,6897,5544,-12541,1616,-414,3948,0,0,-17956,265,100
2024-01-15,24665,20550,-45241,-290,-531,0,0,0,-44420,0,25
2024-01-12,17005,-7700,-9256,1993,-448,2377,0,0,-13178,0,-103
2024-01-11,2063,-16827,14766,-40,-289,4988,0,0,10107,0,-2
2024-01-10,-8487,-9079,17564,320,2571,5453,0,0,9196,24,2
2024-01-09,-2522,2505,15,799,-451,-87,0,0,-275,29,1
2024-01-08,-11260,9492,763,108,-1139,3272,0,0,-1594,116,1000
2024-01-05,-23687,-1484,-4592,1276,-496,28,0,0,-5628,228,30013
2024-01-04,2369,-15786,11009,-333,-248,5009,0,0,6779,-198,2408
2024-01-03,-23387,-15599,19053,4276,-28,2274,0,0,12686,-155,20003
2024-01-02,-9236,-8134,14873,724,-686,6573,0,0,6686,1576,2478
2023-12-28,4570,-7477,2879,341,1435,1226,0,0,-126,3,7
2023-12-27,14659,-34747,16084,1072,-864,5418,0,0,10065,393,3999
2023-12-26,17966,-12713,-2953,531,-832,-119,0,0,-2586,53,-2300
2023-12-22,-22755,7528,20500,1032,19940,-587,0,0,-42,157,-7373
2023-12-21,-1367,5635,24856,1459,-291,13970,0,0,9516,202,-29124
2023-12-20,-52021,21429,37955,1770,12181,10352,0,0,13390,262,-7363
2023-12-19,-10627,15799,6190,1133,4917,308,0,0,-460,292,-11502
2023-12-18,-46174,14928,12950,1568,-228,3306,0,0,7953,351,18297
2023-12-15,-24127,2744,11412,2711,180,1343,0,0,6692,486,9971
2023-12-14,-949,-3436,886,-908,-1119,2779,0,0,-445,579,3499
2023-12-13,-33261,15598,17664,1837,-589,-1382,0,0,17336,462,-1
2023-12-12,-20113,15489,4624,3050,113,1187,0,0,-380,654,0
2023-12-11,-11504,556,8838,3727,253,3375,0,0,0,1483,2110
2023-12-08,-4480,3198,1982,1682,-251,16,0,0,0,535,0
2023-12-07,-3337,-1028,1435,3036,-702,-498,0,0,-988,587,2930
2023-12-06,-6645,11238,-7845,3067,-1543,-5477,0,0,-291,-3601,3341
2023-12-05,-36207,20495,8068,1709,-350,1194,0,0,5112,403,7644
2023-12-04,-7445,2404,5120,528,-631,3519,0,0,1704,0,-79
2023-12-01,-789,-169,1074,-149,325,898,0,0,0,0,-116
2023-11-30,-6547,903,5644,2290,-349,3703,0,0,0,0,0
2023-11-29,9819,-7245,-2650,127,-21,-2756,0,0,0,0,116
2023-11-28,7809,-7798,14,22,-199,111,0,0,0,80,-25
2023-11-27,-24195,22526,4669,81,-227,0,0,0,0,4815,-3000
2023-11-24,41410,13731,-55141,39,-31398,-23782,0,0,0,0,0
2023-11-23,-25378,5161,20138,20,-244,23481,0,0,-3140,21,79
2023-11-22,3906,-3158,-119,150,-47,4516,0,0,-4738,0,0
2023-11-21,-7352,10159,-1987,-5,-362,3140,0,0,-4760,0,0
2023-11-20,17128,-14216,-2705,-142,0,45,0,0,-2608,0,-1407
2023-11-17,-81212,24779,55078,50,31380,23925,0,0,0,-277,1355
2023-11-16,-2440,284,1681,21,-790,2684,0,0,0,-234,475
2023-11-15,-2663,4522,-859,-266,-577,23,0,0,0,-39,-1000
2023-11-14,-4157,4517,-335,-120,-293,154,0,0,0,-76,-25
2023-11-13,-22361,9000,13411,3533,-272,9234,0,0,270,646,-50
2023-11-10,4951,-6785,1884,8,-263,-179,0,0,0,2318,-50
2023-11-09,-21378,2786,18160,-18,3156,506,0,0,0,14516,440
2023-11-08,-30953,21935,9021,1,62,9311,0,0,0,-353,-3
2023-11-07,3846,-3483,-356,-188,-141,12,0,0,0,-39,0
2023-11-06,874,-1721,147,264,-203,0,0,0,0,86,700
2023-11-03,-9722,9756,-234,18,-276,24,0,0,0,0,200
2023-11-02,3319,-2931,-338,27,-419,38,0,0,0,16,-50
2023-11-01,1061,-1018,-43,81,-268,0,0,0,144,0,0
2023-10-31,-4620,3814,806,411,395,0,0,0,0,0,0
2023-10-30,-12663,8985,3678,18,-195,3816,0,0,0,39,0
2023-10-27,-7883,9075,-1192,107,-73,-1226,0,0,0,0,0
2023-10-26,11390,-11050,-340,309,-460,-162,0,0,0,-27,0
2023-10-25,-49,2186,363,343,-92,10,0,0,0,102,0
2023-10-24,7672,-1465,-3407,107,41,-3555,0,0,0,0,2200
2023-10-23,-203,0,-226,-5,-221,0,0,0,0,0,429
2023-10-20,-336,160,176,15,138,-23,0,0,0,46,0
2023-10-19,-4577,-2422,7624,-327,8153,0,0,0,-220,18,-625
2023-10-18,18294,-15929,13,22,-204,147,0,0,0,48,0
2023-10-17,2179,-1588,-127,262,-356,0,0,0,-33,0,0
2023-10-16,-2446,2701,-208,112,-386,66,0,0,0,0,0
2023-10-13,-1664,2495,-1331,-2,-229,-794,0,0,-335,29,500
2023-10-12,3823,-3811,-12,1,-29,16,0,0,0,0,0
2023-10-11,614,-1359,245,43,202,0,0,0,0,0,500
2023-10-10,635,917,-1537,34,-183,-976,0,0,-412,0,-15
2023-10-06,-2126,7954,-5843,59,-673,8,0,0,-5275,38,15
2023-10-05,4370,-3789,-553,34,-158,19,0,0,-448,0,-28
2023-10-04,3630,-2977,-653,736,-2201,33,0,0,740,39,0
2023-09-27,-4169,2587,882,195,493,0,0,0,0,194,700
2023-09-26,14162,-13843,-319,17,-541,7,0,0,0,198,0
2023-09-25,1902,-2158,276,229,-123,72,0,0,0,98,0
2023-09-22,3315,-4343,669,306,-31,316,0,0,0,78,359
2023-09-21,-4639,5111,-487,-622,0,12,0,0,0,123,0
2023-09-20,7829,-5663,-2624,-25,-2698,104,0,0,0,-5,450
2023-09-19,-8256,-4803,13057,-6,13015,48,0,0,0,0,0
2023-09-18,-11869,6763,5281,164,4997,83,0,0,0,37,-175
2023-09-15,-8838,3100,8156,194,7998,0,0,0,0,-36,-25
2023-09-14,4622,-5490,658,277,101,-1963,0,0,2243,0,210
2023-09-13,8036,-7196,-840,-476,-347,-17,0,0,0,0,0
2023-09-12,-11238,11388,-150,4,-193,0,0,0,0,39,0
2023-09-11,-16701,10186,5515,-10,4790,736,0,0,0,-1,1000
2023-09-08,3548,-2167,-1378,-750,-411,1,0,0,-218,0,-3
2023-09-07,5101,-4520,-580,-391,-228,0,0,0,39,0,-1
2023-09-06,1873,-3232,1359,-1185,2599,-132,0,0,59,18,0
2023-09-05,2327,-3008,1059,56,-327,798,0,0,535,-3,-378
2023-09-04,11085,-11262,177,-97,209,-67,0,0,0,132,0
2023-09-01,1455,-757,-698,-427,-256,0,0,0,0,-15,0
2023-08-31,-4126,3250,76,438,-336,15,0,0,0,-41,800
2023-08-30,604,-992,185,0,-226,611,0,0,-206,6,203
2023-08-29,-24310,26691,-3301,-970,-95,0,0,0,-2279,43,920
2023-08-28,-26485,25855,590,917,-327,0,0,0,0,0,40
2023-08-25,1060,1919,-2994,73,-468,-2676,0,0,0,77,0
2023-08-24,10559,-9930,-493,1,-511,0,0,0,0,17,-136
2023-08-23,-836,5755,-5019,7,0,0,0,0,-480,-4546,100
2023-08-22,2866,5817,-8781,-8078,-703,0,0,0,0,0,-2
2023-08-21,-3700,4639,-1661,-1218,-180,59,0,0,-498,176,722
2023-08-18,1531,2784,-4593,-2964,1615,15,0,0,-3240,-19,278
2023-08-17,14508,-11462,-1820,106,-2106,75,0,0,0,105,-1237
2023-08-16,-18710,10065,8470,109,183,0,0,0,8161,17,200
2023-08-14,-3247,5051,-3791,-3610,-181,0,0,0,0,0,2051
2023-08-11,8149,-6396,-3489,-2943,-275,184,0,0,-455,0,1672
2023-08-10,-9940,17856,-15461,-5424,-233,-7981,0,0,-6330,4507,7545
2023-08-09,4411,-5494,763,-195,0,0,0,0,917,41,320
2023-08-08,16992,-11155,-6856,-589,-281,-572,0,0,-5414,0,1019
2023-08-07,1631,788,-2419,-29,-2405,0,0,0,0,15,0
2023-08-04,16334,1257,-18591,-64,-411,-14351,0,0,-3777,12,1000
2023-08-03,6146,-1539,-5107,-387,-2271,-2449,0,0,0,0,500
2023-08-02,-891,9968,-9488,-1840,-509,-7151,0,0,0,12,411
2023-08-01,3558,13539,-19705,-4356,530,-15999,0,0,0,120,2608
2023-07-31,21669,3634,-25800,-28321,-1212,-11,0,0,3744,0,497
2023-07-28,18278,660,-18939,-18978,20,19,0,0,0,0,1
2023-07-27,22067,-12283,-9784,-7160,53,-818,0,0,-1859,0,0
2023-07-26,55687,-20099,-21939,-12196,0,-12633,0,0,2821,69,-13650
2023-07-25,11561,-5360,-7206,-91,-283,70,0,0,-7060,158,1000
