일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,54130,-63666,3322,0,0,-20678,0,0,20000,4000,6531
2024-03-12,51189,-38269,-22624,-155,-14878,-6291,0,0,20000,-21300,10089
2024-03-11,188250,-47241,-37699,155,0,-6904,0,0,0,-30950,-103210
2024-03-08,-64299,59206,20,0,0,-1181,0,0,0,1201,11150
2024-03-07,89953,-65670,-40675,-1259,-394,-15448,0,0,0,-23574,16677
2024-03-06,63752,-81971,-34740,1260,0,-2100,0,0,0,-33900,53459
2024-03-05,-7902,3913,-29171,-1,0,-2100,0,0,0,-27070,33105
2024-03-04,-30430,95084,-26552,-1266,0,-2837,0,0,0,-22449,-12449
2024-02-29,-23560,-135704,155244,6941,12854,11258,2189,0,62394,59608,2371
2024-02-28,6108,64080,-40253,-15694,8993,103402,0,0,-212090,75136,-28667
2024-02-27,62661,-122585,58738,6749,-11667,70593,0,0,62493,-69430,-1515
2024-02-26,-21262,-204457,155854,4101,6537,13359,0,0,129559,2298,69540
2024-02-23,433980,-529941,66584,17082,13832,37809,0,0,0,-2139,27086
2024-02-22,-797079,83497,498246,190552,19908,89830,3273,0,100000,94683,232866
2024-02-21,-31097,-228126,-20889,929,0,-21818,0,0,0,0,273143
2024-02-20,191892,-12608,-152704,-1026,-40172,0,0,0,-111506,0,-24900
2024-02-19,142952,-70847,-79509,856,0,0,0,0,-80365,0,6634
2024-02-16,121752,-27820,-98054,29096,0,-11534,0,0,-122122,6506,5003
2024-02-15,140737,-130861,-24854,660,0,-25514,0,0,0,0,19380
2024-02-14,1335001,-1137873,-216304,-731,0,-32497,0,0,-69643,-113433,33679
2024-02-13,151676,-89236,-63541,630,0,0,0,0,-61834,-2337,1650
2024-02-08,118345,82732,-219202,5584,-12964,-72968,0,0,-120898,-17956,20000
2024-02-07,-106337,102239,30085,85,0,0,0,0,30000,0,-23939
2024-02-06,71100,96483,-144577,-7862,-8615,-38971,0,0,-111409,22280,-19854
2024-02-05,-45142,62891,-7316,-6601,0,-715,0,0,0,0,-9191
2024-02-02,232840,-230121,3042,3042,0,0,0,0,0,0,-5556
2024-02-01,250304,68312,-329605,-43191,-982,-96646,0,0,-74300,-114486,3327
2024-01-31,-45166,116575,-66923,781,0,-30699,0,0,0,-37005,0
2024-01-30,-11885,19221,-7444,0,0,-7444,0,0,0,0,3
2024-01-29,89077,-53492,-36260,0,0,-25868,0,0,0,-10392,-40
2024-01-26,32501,32330,-65231,0,-4835,-59840,-5160,0,0,4604,0
2024-01-25,61809,37191,-94123,0,-1386,-76972,0,0,-24215,8450,0
2024-01-24,-56892,51779,7952,0,0,0,0,0,0,7952,-2054
2024-01-23,-29206,216824,-189728,2961,0,-122600,0,0,0,-70089,2000
2024-01-22,69165,150410,-117568,12514,0,-125899,0,0,0,-4183,-107188
2024-01-19,134142,-155569,22949,0,0,26945,0,0,0,-3996,-452
2024-01-18,-150861,64286,96530,0,0,40030,0,0,0,56500,-8595
2024-01-17,575541,8522,-606646,0,3237,-279350,0,0,-346970,16437,20872
2024-01-16,29112,-58032,27635,0,-9132,15118,0,0,21649,0,-112
2024-01-15,-70602,125995,-55685,0,-33152,-22533,0,0,0,0,368
2024-01-12,523066,143038,-368301,1,0,-5367,0,0,-383305,20370,-298558
2024-01-11,175272,-197879,28133,0,0,3083,0,0,0,25050,-5272
2024-01-10,-6757,-32713,38826,3436,12000,23390,0,0,0,0,518
2024-01-09,-223680,236817,4740,4740,0,0,0,0,0,0,-15530
2024-01-08,-40782,85472,-70669,-1280,-36848,0,0,0,-32541,0,25959
2024-01-05,37913,-1774,692,692,0,0,0,0,0,0,-30325
2024-01-04,59905,-20074,0,0,0,0,0,0,0,0,-44303
2024-01-03,-32777,76187,-42274,-20923,-25372,4350,0,0,-7453,7124,-1042
2024-01-02,341859,-84614,-239246,-3040,-50202,-154166,0,0,0,-31838,-16997
2023-12-28,-180871,122295,42774,1239,-5922,9139,0,0,0,38318,15827
2023-12-27,116805,-60194,-61099,0,-54092,0,0,0,0,-7007,729
2023-12-26,7672,80081,-81643,-2387,0,0,0,0,-110679,31423,-6062
2023-12-22,86676,-116221,27137,-915,-3407,-14961,0,0,-150,46570,-1483
2023-12-21,34353,46130,-101638,1530,-41711,-32738,0,0,0,-28719,10322
2023-12-20,6588,41801,-13550,2781,-42913,1722,0,0,0,24860,-34848
2023-12-19,49930,-6507,-72017,-67858,-4159,0,0,0,0,0,26779
2023-12-18,208022,-65000,-149226,-2191,-35335,-7500,-7500,0,-100000,3300,7684
2023-12-15,-29304,-3754,22648,-23059,0,9147,0,0,0,36560,10200
2023-12-14,-10352,177953,-128089,-14480,22280,-174240,0,0,16735,21616,-39782
2023-12-13,-126774,146278,-12794,14387,-30018,-18322,0,0,10522,10637,-7684
2023-12-12,19264,18680,-26896,-1031,-15972,-22378,0,0,13067,-582,-11475
2023-12-11,8717,-13351,22260,-29103,-15475,12282,0,0,50525,4031,-17309
2023-12-08,-22762,33038,-15119,-14213,0,-766,0,0,0,-140,5200
2023-12-07,-6997,-149075,146772,-1715,0,89099,0,0,45529,13859,14690
2023-12-06,116296,-193668,66775,20,851,3000,0,0,0,62904,6149
2023-12-05,-46594,185754,-143233,-108382,0,-79799,0,0,-9027,53975,5767
2023-12-04,36214,242151,-299567,-129115,-1150,-186556,0,0,22935,-5681,11225
2023-12-01,171052,-2956,-170590,-34455,3214,-20497,0,0,-37904,-80948,810
2023-11-30,17135,90550,-140442,1434,-23870,-57659,0,0,-57958,-2389,32617
2023-11-29,118220,126005,-244485,-13,-72231,-142330,0,0,-52121,22210,-74
2023-11-28,169776,71795,-237152,-1524,0,-183349,0,0,-79360,27081,-5700
2023-11-27,-90187,164778,-41759,-1869,-43781,-1772,0,0,0,5663,-33065
2023-11-24,36580,-34001,-9972,2435,0,-10354,0,0,-127,-1926,-610
2023-11-23,169544,-127910,-61076,-33832,14574,-12365,0,0,-42455,13002,17290
2023-11-22,-66616,18209,45210,2596,0,33286,0,0,0,9328,200
2023-11-21,-75931,-47908,83965,-1792,0,49418,0,0,55339,-19000,36104
2023-11-20,33393,-15202,-56041,-15315,-25376,484,0,0,0,-15834,15764
2023-11-17,83190,-131628,53163,2674,0,32519,0,0,0,17970,-9335
2023-11-16,-210035,133620,102124,1244,7652,74394,0,0,0,18834,-25960
2023-11-15,-125239,74975,44284,-686,10340,31630,0,0,0,3000,7263
2023-11-14,-58873,-355118,-86954,-832,24292,-22549,-6000,0,0,-81865,498756
2023-11-13,-33620,-62847,-2280,-25354,10563,-22630,0,0,14157,20984,82482
2023-11-10,47049,-41366,-53,27552,0,-52697,0,0,3937,21155,-5946
2023-11-09,-4167,-40299,39296,-30,15150,14516,2000,0,0,7660,5000
2023-11-08,-11769,-156806,161160,16001,3582,11110,4000,0,77179,49288,0
2023-11-07,-88159,29276,58266,24496,-15638,64082,0,0,0,-14674,-508
2023-11-06,-97780,15921,67167,4088,0,60374,0,0,0,2705,8213
2023-11-03,7794,-21581,20362,3053,0,-9572,0,0,0,26881,-10823
2023-11-02,-91022,-21139,104097,3497,6647,82922,0,0,0,11031,-16908
2023-11-01,-209530,111720,111662,-12400,2130,41532,0,0,77313,3087,-12153
2023-10-31,-990778,514716,458725,2685,13418,255715,0,0,126789,60118,22246
2023-10-30,-96538,150703,-55878,4653,0,-47756,0,0,28618,-41393,99
2023-10-27,-43941,78664,-34310,0,43425,6785,0,0,0,-84520,-262
2023-10-26,16433,-135266,150232,-36,57077,32010,0,0,44559,16622,-32329
2023-10-25,-159926,-133885,318332,27491,6023,292944,0,0,0,-8126,-25125
2023-10-24,67780,-187373,140424,12580,58690,36766,0,0,62700,-30312,-21934
2023-10-23,196041,-334151,135232,-2394,0,-70818,0,0,37858,170586,2471
2023-10-20,237679,-371458,91047,119,9481,678,0,0,60563,20206,46589
2023-10-19,138868,-195493,45829,16699,0,22630,0,0,0,6500,10298
2023-10-18,26064,-18813,-5946,-185,0,-21417,0,0,0,15656,-1505
2023-05-18,-196663,-18074,74457,22907,2423,-3321,0,0,73747,-21299,139060
2023-05-17,-9384,-24592,53158,8112,0,0,0,0,-2553,47599,-19797
2023-05-16,-209748,69728,117034,-17950,0,41350,0,0,56895,36739,25393
2023-05-15,-45263,124379,-60312,26764,30462,245799,0,0,16523,-379860,-20178
2023-05-12,-218502,248141,-42523,164468,0,-1732,0,0,-4392,-200867,11269
2023-05-11,-148913,106361,41902,-2032,38819,32190,0,0,-4251,-22824,-5153
2023-05-10,-217875,355936,-158897,0,11843,75309,0,0,15737,-261786,19776
2023-05-09,-186830,230595,-55602,57050,2456,-108829,0,0,-4223,-2056,13114
2023-05-08,58258,-44102,-17774,21,0,-10783,0,0,-4344,-2668,3699
2023-05-04,-18417,-13726,25695,20001,0,11547,0,0,0,-5853,4582
2023-05-03,-32387,15339,12716,-108,2081,11048,0,0,0,-305,3940
2023-05-02,64206,-43845,-26789,-23,0,9250,0,0,0,-36016,5134
