일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,-1912,7280,-5450,19,-115,-59,0,0,-6356,1061,77
2024-03-12,9359,-2741,-7227,-10,-223,981,1,0,-9650,1674,601
2024-03-11,763,-1175,260,75,-166,245,1,0,21,84,152
2024-03-08,1287,-3860,2948,1049,1910,62,0,0,-1000,927,100
2024-03-07,-77,-2414,2887,128,4,2631,1,0,0,123,102
2024-03-06,-2509,2798,-352,-7,-72,-97,0,0,569,-745,102
2024-03-05,459,3270,-3945,9,30,783,1,0,-5851,1083,202
2024-03-04,4876,-2864,-2675,895,-44,1279,0,0,-5000,195,637
2024-02-29,3456,3313,-7137,-300,-72,2806,-249,0,-10000,678,361
2024-02-28,7884,-3871,-4067,-2306,-57,2846,252,0,-4800,-2,41
2024-02-27,1154,-7255,6484,2911,-128,2781,0,0,-500,1420,-399
2024-02-26,1352,-4921,3783,-1032,-42,5389,1,0,-500,-33,-228
2024-02-23,-6390,5004,1283,1,-48,915,0,0,-224,639,103
2024-02-22,-2960,803,2152,-187,-58,2491,0,0,0,-94,3
2024-02-21,-1113,-591,1706,-11,-82,1842,1,0,-24,-20,-2
2024-02-20,-3564,-3587,7820,27,170,5955,1,0,0,1667,-607
2024-02-19,-5954,4081,2258,2189,-649,646,-100,0,164,8,-68
2024-02-16,-3750,9953,-5948,-74,-350,-5115,1,0,-377,-33,-250
2024-02-15,1574,-1007,-580,-186,-591,-86,0,0,283,0,2
2024-02-14,-9711,9748,1201,-297,-51,2415,1,0,879,-1746,-1294
2024-02-13,17141,-2904,-5386,-5164,-263,-462,0,0,617,-114,-8826
2024-02-08,-43807,42851,441,3,-130,112,1,0,3277,-2822,488
2024-02-07,-208,7686,-7488,-171,-77,-1543,-267,0,-500,-4930,4
2024-02-06,5299,-4670,-600,-216,-211,-1365,-4,0,1161,35,-19
2024-02-05,-8415,8249,976,304,-480,1347,0,0,-126,-69,-843
2024-02-02,-2186,1683,78,289,21,1674,1,0,-1874,-33,425
2024-02-01,-10137,11162,498,-320,63,2306,0,0,273,-1824,-1525
2024-01-31,7185,-4187,-3049,695,-124,1498,1,0,-434,-4685,51
2024-01-30,-1321,2190,-871,1,-1106,3065,-561,0,-1303,-967,3
2024-01-29,191,689,-882,3,586,-26,0,0,-1429,-16,2
2024-01-26,508,-691,180,-263,-137,26,0,0,531,23,3
2024-01-25,-2637,3095,-574,-36,-104,-2053,0,0,1608,11,114
2024-01-24,346,2942,-3295,-404,-25,-1235,0,0,-4118,2487,5
2024-01-23,1801,2213,-4132,-7,-100,-1514,0,0,-3910,1399,118
2024-01-22,2934,-286,-2022,-22,-320,-3499,0,0,1586,233,-627
2024-01-19,1882,-180,-1940,-44,-145,9,0,0,1567,-3327,238
2024-01-18,5298,2453,-7859,54,-89,1014,0,0,-11431,2593,105
2024-01-17,830,67,-1240,21,12,-1871,16,0,1293,-711,304
2024-01-16,746,-1586,735,113,-98,-369,0,0,1054,35,103
2024-01-15,-2346,1096,985,-596,-145,1012,0,0,714,0,265
2024-01-12,-4681,-28,4571,-177,-62,998,0,42,-107,3877,148
2024-01-11,-1331,-50,1370,50,-103,-13,0,63,1373,0,2
2024-01-10,1256,-467,-1424,-64,-356,-1774,0,0,770,0,631
2024-01-09,1346,188,-1599,137,-125,-467,0,0,-1144,0,65
2024-01-08,4607,-936,-3877,-208,-352,-2502,0,0,-821,6,155
2024-01-05,13702,-4080,-9930,17,-162,-7379,0,0,-1264,-1142,301
2024-01-04,9720,-4129,-7193,-1006,-37,-3570,0,63,-2582,-61,1600
2024-01-03,3078,581,-4119,-429,6,-139,0,0,-3509,-48,451
2024-01-02,-6922,3820,-703,-1472,918,-152,0,0,0,3,3800
2023-12-28,-2468,3004,-329,-289,82,493,853,0,-1431,-37,-209
2023-12-27,14360,-11976,-3007,65,-204,-486,0,0,-2467,85,600
2023-12-26,-8553,10653,-2203,24,1150,-442,0,0,-1338,-1597,100
2023-12-22,9442,3901,-14540,-68,-2734,-4125,0,-449,-7114,-50,1195
2023-12-21,1918,1919,-3968,-697,-93,-506,0,0,-1861,-811,150
2023-12-20,677,15112,-14097,-981,-59,-1239,0,0,-11131,-687,-1639
2023-12-19,63286,1108,-64873,-810,94,-58932,0,0,-5258,33,23
2023-12-18,18378,-4356,-14677,-310,-59,-7802,-91,0,-5029,-1386,602
2023-12-15,13343,-2148,-10886,-162,-2449,-4944,0,-423,-2941,33,-361
2023-12-14,-285,1159,-526,-1140,-3,-5,-1,0,654,-31,-240
2023-12-13,3552,1226,-4755,-1130,-139,-759,0,0,-949,-1778,1
2023-12-12,5742,392,-6240,-122,58,-259,0,0,-4831,-1086,106
2023-12-11,11691,-1404,-10718,38,-73,-2473,0,0,-7110,-1100,203
2023-12-08,20486,-1923,-17710,-4546,-2803,-1730,0,-485,-9256,1110,-968
2023-12-07,10182,-890,-9899,-53,-168,-182,0,0,-3276,-6220,400
2023-12-06,1968,328,-2536,-277,-24,-55,0,0,-1716,-464,42
2023-12-05,-1077,1235,-264,288,540,0,0,0,-628,-464,100
2023-12-04,1319,2665,-3566,-1578,-938,377,0,-139,-1288,0,-388
2023-12-01,8679,659,-9340,-643,-1115,-3449,0,-186,-2053,-1894,0
2023-11-30,-591,3246,-2783,-480,-89,-1820,0,0,-18,-376,122
2023-11-29,-58,79,132,24,66,-610,0,0,652,0,-182
2023-11-28,-3789,11223,-4497,-550,448,-1794,19,0,0,-2620,-2912
2023-11-27,-3148,4702,-1438,-1180,-58,-200,0,0,0,0,-125
2023-11-24,4694,3657,-6324,-943,50,-1796,0,0,-3188,-447,-2016
2023-11-23,9852,-3753,-6015,32,-2,-630,0,0,-5318,-97,-80
2023-11-22,4981,1006,-5518,4,-8,-3965,0,0,-1886,337,-469
2023-11-21,3558,1471,-6113,-715,-98,0,0,0,-3517,-1783,1047
2023-11-20,-1023,5192,-2605,-125,-37,11,-95,0,-1038,-1321,-1548
2023-11-17,4594,3016,-8330,121,-4157,-1239,0,0,-206,-2849,740
2023-11-16,-561,4320,-3580,-306,-202,89,0,0,0,-3161,-165
2023-11-15,-3583,4954,-1218,-623,-14,72,0,0,-500,-153,-300
2023-11-14,1139,964,-2198,-349,-86,332,0,0,-500,-1595,100
2023-11-13,2510,-1217,-1393,-475,-282,-547,0,0,-56,-33,100
2023-11-10,2193,1272,-3766,41,-68,-568,0,0,-3156,-15,301
2023-11-09,-654,-605,1058,-25,-75,1082,0,0,0,76,201
2023-11-08,-710,104,707,92,-4,931,0,0,0,-312,-2
2023-11-07,-6439,1911,4498,1782,-46,2828,0,0,-340,274,30
2023-11-06,-116,-31,39,-29,211,38,-87,0,-14,-80,100
2023-11-03,-3257,1199,2023,1121,-85,1013,0,-18,-8,0,13
2023-11-02,-1515,-2039,3548,983,-99,2365,0,-22,316,5,0
2023-11-01,-2341,-1577,3882,16,-161,4000,0,-44,-213,284,36
2023-10-31,1789,-3845,2019,1780,239,0,0,0,0,0,36
2023-10-30,-2122,-1527,3061,221,-47,584,0,0,2292,11,598
2023-10-27,290,1132,-1459,231,-27,-823,0,-24,-1200,384,37
2023-10-26,128,-2474,905,222,-96,457,0,0,330,-8,1400
2023-10-25,-273,-1230,1302,207,-24,991,0,0,0,128,201
2023-10-24,-2342,1223,619,302,-42,359,0,0,0,0,500
2023-10-23,-2003,561,1069,-44,-57,0,0,0,1068,102,372
2023-10-20,2322,-2557,151,102,-84,120,0,0,0,13,114
2023-10-19,2076,-4582,2406,49,-62,1242,0,0,665,512,100
2023-10-18,-1631,2411,-330,-373,-58,91,0,0,0,10,-452
2023-10-17,1590,-951,-697,125,-42,-772,0,0,-8,0,57
2023-10-16,-4182,2898,572,305,-45,612,-300,0,0,0,900
2023-10-13,-2510,2879,-395,50,-41,-340,0,0,-72,8,26
2023-10-12,-4186,4714,-629,-73,-137,-521,0,0,0,102,100
2023-10-11,4448,2721,-7632,18,1300,-430,0,0,-8518,-2,443
2023-10-10,-16173,12325,3936,-110,-68,-442,0,0,4703,-147,30
2023-10-06,739,-2006,803,29,391,1,0,0,270,112,470
2023-10-05,-2745,-4885,7630,139,3216,3890,0,0,-97,482,0
2023-10-04,-3375,1798,2541,547,53,8,0,0,176,1757,-899
2023-09-27,-583,-93,1119,1043,178,-710,48,0,0,560,-446
2023-09-26,6176,-4420,-126,55,-77,86,-997,0,0,807,-1643
2023-09-25,-41,-154,590,-141,1814,-1955,0,0,0,872,-403
2023-09-22,1131,-3507,2900,-28,2009,0,59,0,-4136,4996,-525
2023-09-21,-5730,-4466,10638,-229,5438,2318,0,0,-1147,4258,-454
2023-09-20,-6888,1884,5479,-86,1317,-53,0,0,4200,101,-478
2023-09-19,1325,231,-709,-31,1362,-1894,0,0,-381,235,-850
2023-09-18,4350,-4280,508,795,-104,-293,0,0,0,110,-580
2023-09-15,-3728,12939,-8362,-1149,-257,0,-230,0,-1241,-5485,-1055
2023-09-14,1927,345,-2577,1527,1535,-5250,0,0,2632,-3021,299
2023-09-13,-538,-812,191,181,-21,0,0,0,0,31,1152
2023-09-12,1517,-2633,479,-40,42,466,0,0,0,11,629
2023-09-11,-2379,1963,-732,-819,-111,199,0,0,0,-1,1147
2023-09-08,13776,-13265,-1153,-465,-110,-265,0,0,64,-377,424
2023-09-07,2802,-2123,-1133,101,39,1427,0,0,12,-2712,450
2023-09-06,1018,-1248,234,31,-111,0,-3,0,18,299,-14
2023-09-05,180,-551,421,272,-90,56,0,0,186,-3,113
2023-09-04,-1914,4507,-2181,-194,78,-1500,0,-598,0,33,0
2023-09-01,6419,-2547,-3645,229,0,142,0,0,-4094,78,0
2023-08-31,-440,3373,-1936,-17,-94,-731,0,0,-1803,709,-659
2023-08-30,3066,-577,-2170,115,-64,269,0,0,-2035,-455,15
2023-08-29,391,1934,-2345,-34,-14,0,-1000,0,-1881,584,19
2023-08-28,81,820,-903,-85,-129,833,0,0,-1522,0,0
2023-08-25,173,701,-1124,29,-130,1116,0,0,-2590,451,239
2023-08-24,1844,-1073,-779,46,-178,952,0,0,-1889,290,5
2023-08-23,1346,-2226,371,-61,0,2701,60,0,-3567,1238,784
2023-08-22,5158,264,-4754,-1359,-187,353,50,0,-3351,-260,-178
2023-08-21,5832,-3335,-2218,66,-40,204,0,0,-2380,-68,-304
2023-08-18,2997,4125,-7691,49,-6339,3232,-543,0,-4084,-6,554
2023-08-17,2914,110,-4733,138,-5141,2776,0,-211,-3086,791,1703
2023-08-16,2034,2509,-5945,91,-2788,112,-212,0,-4905,1757,1397
2023-08-14,2143,-3021,762,1561,-64,0,0,0,-937,202,115
2023-08-11,651,1110,-1815,-23,-96,-6,0,0,-2187,497,73
2023-08-10,7472,420,-8429,-32,-3408,-2216,-246,0,-4108,1581,507
2023-08-09,1059,402,-1673,168,79,402,-256,0,-2723,657,211
2023-08-08,6782,-3945,-4074,-424,75,3718,-408,-254,-8020,1239,1241
2023-08-07,6770,-3734,-3122,-425,885,-4,0,-146,-3436,4,100
2023-08-04,4460,1100,-5661,-948,-1248,-430,0,-152,-2322,-561,100
2023-08-03,4614,4651,-9297,420,-124,-6561,0,0,-3032,0,32
2023-08-02,1131,4681,-5477,-116,-116,-2628,0,0,-2417,-200,-337
2023-08-01,-1912,462,1605,-282,4207,-250,0,0,-2104,34,-155
2023-07-31,-4370,-3360,7700,-797,-213,9777,720,418,-2205,0,20
2023-07-28,-8458,7096,1295,-2165,-1584,3643,0,0,-316,1717,76
2023-07-27,2936,2990,-6071,-192,14,-4609,0,0,-510,-774,124
2023-07-26,1935,2517,-6893,-443,-2,-675,72,0,2632,-8477,2398
2023-07-25,-3581,18129,-23239,-1878,-4826,-11776,53,540,-6449,1097,8651
2023-07-24,-4224,7447,-5195,-3893,-17,-1872,100,572,0,-85,1945
2023-07-21,-6899,9810,-3469,-528,-123,-883,0,0,0,-1935,599
2023-07-20,-7252,6783,516,187,-114,-2005,-485,0,2929,4,-62
2023-07-19,-5376,6546,-1115,-548,-626,-337,0,476,66,-146,6
2023-07-18,20374,-3583,-16366,-970,-591,-431,-424,444,-13852,-542,-430
2023-07-17,-1240,7249,-5366,-222,-218,267,0,434,-5268,-359,-285
2023-07-14,-3571,5844,-3396,-79,-174,-2299,0,0,0,-844,860
2023-07-13,1113,7156,-8618,-471,-673,1893,1,744,-9990,-122,309
2023-07-12,684,-1347,636,8,-4,169,0,752,-282,-7,60
2023-07-11,-9950,9579,-129,565,-1429,446,-793,981,0,101,500
2023-07-10,-5119,4071,1053,697,-102,1275,0,1114,-1106,-825,0
2023-07-07,-1346,1474,-258,-1692,-1178,306,-1716,597,2704,721,138
2023-07-06,-6005,8806,-2541,-616,-1157,-467,-499,111,0,87,-252
2023-07-05,-1431,5117,-5504,-438,-2661,-3364,0,0,-173,1132,1860
2023-07-04,-2423,5229,-3880,70,-290,-34,0,0,-1891,-1735,1067
2023-07-03,14300,11331,-30795,-514,-1287,-7174,-450,0,-26437,5067,5139
2023-06-30,10344,-4581,-5752,-522,43,-4391,45,0,-927,0,-1
2023-06-29,20277,-12314,-8544,-2756,-58,-1840,0,0,-2634,-1256,584
2023-06-28,-21373,10615,10216,98,-28,278,-500,0,9203,1165,699
2023-06-27,-9025,2305,6948,-1959,-41,781,0,0,6758,1409,-186
2023-06-26,-11960,5399,6522,-360,-19,6,0,0,6891,4,0
2023-06-23,1758,851,-2608,-349,-160,255,0,0,220,-2574,0
