일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,3871,-4509,638,638,0,0,0,0,0,0,0
2024-03-12,590,226,-123,-123,0,0,0,0,0,0,0
2024-03-11,378,-361,-17,-17,0,0,0,0,0,0,0
2024-03-08,2387,-2414,139,139,0,0,0,0,0,0,0
2024-03-07,2456,-2489,33,33,0,0,0,0,0,0,0
2024-03-06,4966,-4600,-416,-416,0,0,0,0,0,0,0
2024-03-05,11395,-11695,383,383,0,0,0,0,0,0,0
2024-03-04,-26041,27863,0,0,0,0,0,0,0,0,1
2024-02-29,-315,314,1,1,0,0,0,0,0,0,0
2024-02-28,325,-224,-1,-1,0,0,0,0,0,0,0
2024-02-27,-2970,2866,4,4,0,0,0,0,0,0,0
2024-02-26,-1543,597,-4,-4,0,0,0,0,0,0,0
2024-02-23,11900,-11992,-22,-22,0,0,0,0,0,0,0
2024-02-22,6149,-6144,39,39,0,0,0,0,0,0,0
2024-02-21,8,-13,0,0,0,0,0,0,0,0,0
2024-02-20,-12935,12987,-39,-39,0,0,0,0,0,0,0
2024-02-19,1722,-1718,0,0,0,0,0,0,0,0,0
2024-02-16,218,-650,0,0,0,0,0,0,0,0,0
2024-02-15,-1935,1934,0,0,0,0,0,0,0,0,0
2024-02-14,932,-1998,0,0,0,0,0,0,0,0,-84
2024-02-13,-1793,1048,0,0,0,0,0,0,0,0,-10
2024-02-08,-2204,2195,0,0,0,0,0,0,0,0,0
2024-02-07,-4539,4442,3,3,0,0,0,0,0,0,94
2024-02-06,-2204,2904,-4,-4,0,0,0,0,0,0,0
2024-02-05,7698,-7516,41,41,0,0,0,0,0,0,0
2024-02-02,-3263,2604,0,0,0,0,0,0,0,0,0
2024-02-01,-4015,4159,0,0,0,0,0,0,0,0,0
2024-01-31,1068,-359,0,0,0,0,0,0,0,0,0
2024-01-30,7834,-6793,-4,-4,0,0,0,0,0,0,0
2024-01-29,10051,-10100,1,1,0,0,0,0,0,0,0
2024-01-26,-5574,4032,-1,-1,0,0,0,0,0,0,0
2024-01-25,-7227,7566,-216,-216,0,0,0,0,0,0,0
2024-01-24,-649,-933,216,216,0,0,0,0,0,0,0
2024-01-23,1168,-437,2,2,0,0,0,0,0,0,0
2024-01-22,13850,-13752,-2,-2,0,0,0,0,0,0,0
2024-01-19,-17605,17565,-349,-349,0,0,0,0,0,0,0
2024-01-18,-1432,613,364,364,0,0,0,0,0,0,-500
2024-01-17,1624,-976,-378,-378,0,0,0,0,0,0,0
2024-01-16,964,-4682,373,373,0,0,0,0,0,0,3118
2024-01-15,7403,-7440,0,0,0,0,0,0,0,0,0
2024-01-12,-5675,7920,-920,-920,0,0,0,0,0,0,-1018
2024-01-11,56,-991,910,910,0,0,0,0,0,0,0
2024-01-10,-778,-490,15,15,0,0,0,0,0,0,1018
2024-01-09,6107,-4656,-6,-6,0,0,0,0,0,0,0
2024-01-08,-848,-735,0,0,0,0,0,0,0,0,0
2024-01-05,1536,-1550,6,6,0,0,0,0,0,0,0
2024-01-04,-1863,1838,0,0,0,0,0,0,0,0,0
2024-01-03,1580,-1557,-1,-1,0,0,0,0,0,0,0
2024-01-02,276,-277,1,1,0,0,0,0,0,0,0
2023-12-28,221,-224,0,0,0,0,0,0,0,0,0
2023-12-27,-246,630,0,0,0,0,0,0,0,0,0
2023-12-26,-3223,3519,0,0,0,0,0,0,0,0,0
2023-12-22,-1135,776,0,0,0,0,0,0,0,0,0
2023-12-21,2737,-2737,0,0,0,0,0,0,0,0,0
2023-12-20,710,-710,0,0,0,0,0,0,0,0,0
2023-12-19,-543,229,0,0,0,0,0,0,0,0,0
2023-12-18,-1642,1619,0,0,0,0,0,0,0,0,0
2023-12-15,-1513,1524,0,0,0,0,0,0,0,0,0
2023-12-14,-6187,6346,0,0,0,0,0,0,0,0,-160
2023-12-13,-4600,4731,0,0,0,0,0,0,0,0,-133
2023-12-12,5116,-4107,-1,-1,0,0,0,0,0,0,0
2023-12-11,-2983,2505,0,0,0,0,0,0,0,0,18
2023-12-08,-1085,988,0,0,0,0,0,0,0,0,0
2023-12-07,2157,392,-2457,-2457,0,0,0,0,0,0,98
2023-12-06,3341,28,-3179,-3179,0,0,0,0,0,0,0
2023-12-05,729,-69,-660,-660,0,0,0,0,0,0,0
2023-12-04,-98,6,-253,-253,0,0,0,0,0,0,0
2023-12-01,487,168,-655,-655,0,0,0,0,0,0,0
2023-11-30,1143,-97,-1051,-1051,0,0,0,0,0,0,0
2023-11-29,59,-14,-45,-45,0,0,0,0,0,0,0
2023-11-28,196,-41,-190,-190,0,0,0,0,0,0,0
2023-11-27,303,33,-336,-336,0,0,0,0,0,0,0
2023-11-24,593,-30,-563,-563,0,0,0,0,0,0,0
2023-11-23,357,97,-454,-454,0,0,0,0,0,0,0
2023-11-22,536,-31,-505,-505,0,0,0,0,0,0,0
