일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,5349,-5350,1,1,0,0,0,0,0,0,0
2024-03-12,658,-657,0,0,0,0,0,0,0,0,0
2024-03-11,4089,-4089,0,0,0,0,0,0,0,0,0
2024-03-08,3887,-3886,-1,-1,0,0,0,0,0,0,0
2024-03-07,14945,-14956,1,1,0,0,0,0,0,0,0
2024-03-06,2255,-2254,-1,-1,0,0,0,0,0,0,0
2024-03-05,6487,-6507,1,1,0,0,0,0,0,0,0
2024-03-04,5611,-5426,-185,-185,0,0,0,0,0,0,0
2024-02-29,1088,-1282,184,184,0,0,0,0,0,0,0
2024-02-28,629,-631,-2,-2,0,0,0,0,0,0,0
2024-02-27,1801,-1803,2,2,0,0,0,0,0,0,0
2024-02-26,1319,-1318,-11,-11,0,0,0,0,0,0,0
2024-02-23,390,-401,11,11,0,0,0,0,0,0,0
2024-02-22,767,-768,1,1,0,0,0,0,0,0,0
2024-02-21,683,-683,0,0,0,0,0,0,0,0,0
2024-02-20,488,-488,0,0,0,0,0,0,0,0,0
2024-02-19,-208,208,0,0,0,0,0,0,0,0,0
2024-02-16,-307,306,0,0,0,0,0,0,0,0,0
2024-02-15,443,-443,0,0,0,0,0,0,0,0,0
2024-02-14,408,-408,0,0,0,0,0,0,0,0,0
2024-02-13,-430,430,0,0,0,0,0,0,0,0,0
2024-02-08,-325,325,0,0,0,0,0,0,0,0,0
2024-02-07,-385,386,-1,-1,0,0,0,0,0,0,0
2024-02-06,275,-276,1,1,0,0,0,0,0,0,0
2024-02-05,755,-750,-5,-5,0,0,0,0,0,0,0
2024-02-02,-587,591,-5,-5,0,0,0,0,0,0,0
2024-02-01,214,-219,5,5,0,0,0,0,0,0,0
2024-01-31,1275,-1280,5,5,0,0,0,0,0,0,0
2024-01-30,165,-165,0,0,0,0,0,0,0,0,0
2024-01-29,208,-45,-15,-15,0,0,0,0,0,0,-148
2024-01-26,136,-72,-64,-64,0,0,0,0,0,0,0
2024-01-25,86,-164,78,78,0,0,0,0,0,0,0
2024-01-24,197,97,-294,-294,0,0,0,0,0,0,0
2024-01-23,669,-152,-591,295,0,0,0,0,0,-886,74
2024-01-22,862,-853,-9,-9,0,0,0,0,0,0,0
2024-01-19,-124,82,9,9,0,0,0,0,0,0,33
2024-01-18,154,-154,0,0,0,0,0,0,0,0,0
2024-01-17,812,-809,-6,-6,0,0,0,0,0,0,0
2024-01-16,239,-245,6,6,0,0,0,0,0,0,0
2024-01-15,304,-19,-285,-285,0,0,0,0,0,0,0
2024-01-12,-204,-72,276,276,0,0,0,0,0,0,0
2024-01-11,6,-14,8,8,0,0,0,0,0,0,0
2024-01-10,-138,137,1,1,0,0,0,0,0,0,0
2024-01-09,976,-975,-1,-1,0,0,0,0,0,0,0
2024-01-08,335,-58,-277,-277,0,0,0,0,0,0,0
2024-01-05,-303,26,277,277,0,0,0,0,0,0,0
2024-01-04,1450,-1451,1,1,0,0,0,0,0,0,0
